Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598479898.6863518,1598480649.518423,1598481394.1555321,1598482152.478602,1598482897.998014,1598483654.1984682,1598484404.443916,1598485162.2648141,1598485925.779456,1598486685.306599


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,8.0,30.0,20.0,30.0,30.0,26.0,38.0,32.0,22.0,36.0,34.0,44.0,40.0,26.0,26.0,32.0,50.0,48.0,46.0
10.0,10.0,20.0,22.0,18.0,28.0,22.0,16.0,34.0,20.0,24.0,20.0,28.0,38.0,38.0,30.0,38.0,40.0,38.0,38.0
12.0,28.0,14.0,12.0,12.0,16.0,22.0,28.0,16.0,28.0,24.0,24.0,28.0,42.0,34.0,22.0,42.0,32.0,44.0,38.0
16.0,16.0,10.0,20.0,26.0,30.0,44.0,48.0,22.0,30.0,42.0,44.0,38.0,46.0,26.0,30.0,44.0,40.0,30.0,36.0
18.0,30.0,20.0,18.0,22.0,18.0,32.0,16.0,26.0,32.0,38.0,38.0,40.0,44.0,46.0,42.0,38.0,38.0,16.0,38.0
14.0,4.0,16.0,26.0,28.0,38.0,36.0,26.0,48.0,36.0,32.0,30.0,44.0,42.0,26.0,42.0,36.0,16.0,40.0,46.0
14.0,14.0,14.0,18.0,20.0,16.0,20.0,26.0,30.0,22.0,30.0,36.0,40.0,24.0,44.0,40.0,48.0,30.0,50.0,54.0
6.0,20.0,28.0,30.0,30.0,26.0,30.0,26.0,34.0,38.0,34.0,24.0,42.0,18.0,36.0,34.0,50.0,36.0,34.0,44.0
18.0,10.0,14.0,28.0,28.0,20.0,18.0,28.0,30.0,16.0,30.0,30.0,36.0,40.0,28.0,26.0,36.0,26.0,46.0,40.0
10.0,6.0,24.0,26.0,32.0,26.0,20.0,28.0,34.0,28.0,32.0,26.0,18.0,20.0,32.0,40.0,36.0,48.0,42.0,34.0

Averages:
13.2,14.6,19.0,22.0,24.6,24.8,27.0,28.0,30.6,27.2,32.2,30.6,35.8,35.4,33.6,33.2,40.0,35.6,38.8,41.4
Standard deviations:
3.6,8.487638069569178,6.276941930590086,5.215361924162119,6.069596362197408,6.823488843692792,7.962411694957753,8.94427190999916,8.052328855678958,6.764613810115105,5.400000000000001,7.045565981523415,8.072174428244226,9.961927524329816,7.031358332498778,7.054076835419359,5.513619500836088,9.624967532412773,9.6,5.730619512757761



