Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598479898.6863518,1598480649.518423,1598481394.1555321,1598482152.478602,1598482897.998014,1598483654.1984682,1598484404.443916,1598485162.2648141,1598485925.779456,1598486685.306599


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,2.0,8.0,4.0,8.0,10.0,16.0,6.0,12.0,10.0,8.0,10.0,0.0,6.0,16.0,6.0,6.0,10.0,16.0,8.0
10.0,10.0,14.0,10.0,4.0,12.0,16.0,14.0,4.0,12.0,4.0,12.0,8.0,20.0,6.0,12.0,18.0,6.0,8.0,6.0
12.0,10.0,6.0,6.0,12.0,10.0,8.0,10.0,12.0,14.0,10.0,4.0,16.0,8.0,0.0,6.0,6.0,10.0,16.0,12.0
16.0,10.0,10.0,12.0,6.0,8.0,4.0,12.0,8.0,2.0,18.0,8.0,6.0,10.0,4.0,18.0,14.0,8.0,10.0,10.0
18.0,12.0,6.0,8.0,10.0,10.0,12.0,18.0,10.0,10.0,6.0,16.0,14.0,20.0,12.0,12.0,16.0,14.0,16.0,12.0
14.0,10.0,14.0,8.0,10.0,8.0,10.0,14.0,16.0,12.0,12.0,14.0,8.0,8.0,18.0,12.0,16.0,8.0,8.0,6.0
14.0,4.0,6.0,6.0,16.0,8.0,10.0,8.0,8.0,12.0,6.0,14.0,12.0,6.0,12.0,14.0,10.0,6.0,8.0,6.0
6.0,10.0,12.0,10.0,8.0,6.0,4.0,10.0,12.0,16.0,6.0,10.0,6.0,10.0,6.0,12.0,4.0,10.0,10.0,8.0
18.0,12.0,6.0,2.0,12.0,14.0,6.0,8.0,6.0,2.0,12.0,14.0,14.0,10.0,6.0,12.0,10.0,14.0,8.0,12.0
10.0,20.0,12.0,6.0,10.0,2.0,12.0,8.0,6.0,4.0,6.0,10.0,10.0,4.0,6.0,6.0,10.0,10.0,4.0,10.0

Averages:
13.2,10.0,9.4,7.2,9.6,8.8,9.8,10.8,9.4,9.4,8.8,11.2,9.4,10.2,8.6,11.0,11.0,9.6,10.4,9.0
Standard deviations:
3.6,4.560701700396552,3.2310988842807022,2.85657137141714,3.2,3.1240998703626617,4.1424630354415966,3.4871191548325386,3.4698703145794947,4.737087712930805,4.019950248448356,3.370459909270543,4.565084884205332,5.2497618993626745,5.370288632839021,3.714835124201342,4.58257569495584,2.65329983228432,3.97994974842648,2.4083189157584592



