Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598479898.6863518,1598480649.518423,1598481394.1555321,1598482152.478602,1598482897.998014,1598483654.1984682,1598484404.443916,1598485162.2648141,1598485925.779456,1598486685.306599


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,14.0,16.0,8.0,16.0,14.0,14.0,12.0,6.0,12.0,10.0,18.0,14.0,12.0,8.0,8.0,20.0,12.0,16.0,10.0
10.0,6.0,8.0,8.0,6.0,12.0,8.0,6.0,8.0,10.0,8.0,4.0,8.0,8.0,10.0,10.0,18.0,4.0,10.0,12.0
12.0,8.0,8.0,8.0,14.0,10.0,14.0,10.0,4.0,6.0,12.0,10.0,8.0,6.0,6.0,8.0,2.0,12.0,14.0,10.0
16.0,10.0,14.0,6.0,8.0,10.0,12.0,8.0,20.0,14.0,12.0,14.0,12.0,12.0,2.0,10.0,6.0,6.0,12.0,2.0
18.0,8.0,10.0,4.0,10.0,10.0,4.0,6.0,4.0,14.0,20.0,6.0,4.0,6.0,8.0,10.0,14.0,16.0,8.0,10.0
14.0,12.0,8.0,6.0,8.0,14.0,8.0,6.0,18.0,4.0,10.0,8.0,10.0,6.0,12.0,10.0,10.0,18.0,14.0,8.0
14.0,14.0,16.0,10.0,6.0,12.0,10.0,6.0,10.0,10.0,18.0,10.0,12.0,2.0,6.0,12.0,6.0,6.0,14.0,14.0
6.0,4.0,4.0,12.0,14.0,14.0,4.0,10.0,6.0,16.0,16.0,6.0,8.0,16.0,12.0,12.0,14.0,16.0,8.0,12.0
18.0,12.0,12.0,12.0,12.0,6.0,8.0,6.0,12.0,8.0,16.0,6.0,6.0,6.0,10.0,10.0,8.0,6.0,14.0,10.0
10.0,6.0,14.0,14.0,12.0,10.0,10.0,14.0,16.0,14.0,10.0,6.0,0.0,8.0,10.0,16.0,10.0,10.0,18.0,4.0

Averages:
13.2,9.4,11.0,8.8,10.6,11.2,9.2,8.4,10.4,10.8,13.2,8.8,8.2,8.2,8.4,10.6,10.8,10.6,12.8,9.2
Standard deviations:
3.6,3.352610922848042,3.82099463490856,2.993325909419153,3.352610922848042,2.4,3.370459909270543,2.8000000000000003,5.571355310873648,3.7094473981982814,3.815756805667783,4.1182520563948,3.9446165846632044,3.8418745424597094,2.9393876913398143,2.2,5.3814496188294845,4.737087712930805,3.1240998703626617,3.4871191548325386



