Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598355290.591757,1598356140.1815848,1598356933.848664,1598357876.6765928,1598358758.6687622,1598359629.9761028,1598360413.168163,1598361181.754997,1598361951.067656,1598362715.902047


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,10.0,28.0,16.0,20.0,26.0,30.0,40.0,20.0,30.0,32.0,32.0,34.0,34.0,34.0,28.0,22.0,40.0,42.0,44.0
8.0,10.0,22.0,20.0,20.0,28.0,28.0,42.0,34.0,30.0,32.0,28.0,34.0,28.0,26.0,40.0,40.0,24.0,32.0,36.0
10.0,6.0,12.0,40.0,22.0,30.0,34.0,38.0,34.0,28.0,34.0,46.0,48.0,40.0,44.0,52.0,48.0,38.0,54.0,40.0
6.0,26.0,26.0,28.0,24.0,28.0,32.0,38.0,26.0,32.0,36.0,36.0,30.0,40.0,36.0,34.0,32.0,40.0,40.0,44.0
10.0,26.0,20.0,30.0,24.0,34.0,28.0,44.0,30.0,38.0,50.0,30.0,28.0,38.0,44.0,44.0,24.0,30.0,24.0,38.0
16.0,12.0,10.0,16.0,28.0,20.0,50.0,30.0,24.0,38.0,36.0,36.0,28.0,32.0,38.0,58.0,36.0,48.0,38.0,42.0
18.0,24.0,18.0,20.0,24.0,30.0,26.0,28.0,24.0,18.0,28.0,42.0,34.0,30.0,30.0,46.0,34.0,28.0,28.0,34.0
18.0,18.0,18.0,16.0,28.0,36.0,36.0,44.0,26.0,36.0,24.0,46.0,38.0,16.0,40.0,44.0,46.0,44.0,46.0,32.0
8.0,12.0,8.0,10.0,20.0,30.0,22.0,32.0,22.0,26.0,32.0,28.0,32.0,30.0,36.0,36.0,32.0,34.0,48.0,40.0
10.0,14.0,4.0,16.0,22.0,26.0,26.0,16.0,26.0,24.0,44.0,52.0,46.0,34.0,20.0,30.0,42.0,36.0,54.0,46.0

Averages:
11.4,15.8,16.6,21.2,23.2,28.8,31.2,35.2,26.6,30.0,34.8,37.6,35.2,32.2,34.8,41.2,35.6,36.2,40.6,39.6
Standard deviations:
4.1036569057366385,6.896375859826667,7.4859869088851605,8.44748483277715,2.85657137141714,4.214261501141095,7.386474125047754,8.352245207128439,4.476605857119879,6.06630035524124,7.11055553385247,8.039900496896712,6.584831053261731,6.7201190465645775,7.277362159464101,9.042123644365853,8.187795796183488,7.011419257183242,9.799999999999999,4.363484845854286



