Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598397109.923758,1598397857.2928178,1598398609.398256,1598399375.06055,1598400148.40533,1598400915.5938299,1598401692.585599,1598402450.060568,1598403211.6831858,1598403966.724342


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,12.0,20.0,34.0,36.0,28.0,36.0,28.0,16.0,28.0,14.0,20.0,42.0,32.0,34.0,26.0,16.0,36.0,36.0,34.0
10.0,16.0,26.0,24.0,28.0,24.0,28.0,30.0,26.0,36.0,38.0,24.0,20.0,36.0,42.0,40.0,40.0,30.0,28.0,48.0
12.0,14.0,18.0,42.0,38.0,36.0,34.0,28.0,22.0,28.0,30.0,34.0,44.0,34.0,50.0,40.0,34.0,52.0,52.0,24.0
16.0,20.0,14.0,34.0,32.0,16.0,32.0,30.0,26.0,26.0,24.0,30.0,40.0,24.0,38.0,40.0,40.0,52.0,52.0,58.0
2.0,20.0,16.0,32.0,34.0,34.0,32.0,36.0,30.0,42.0,48.0,44.0,46.0,42.0,42.0,40.0,48.0,36.0,38.0,52.0
10.0,18.0,12.0,24.0,16.0,26.0,32.0,28.0,32.0,42.0,24.0,26.0,28.0,36.0,30.0,38.0,42.0,54.0,52.0,48.0
10.0,6.0,34.0,30.0,26.0,40.0,28.0,22.0,42.0,36.0,32.0,32.0,46.0,50.0,52.0,32.0,34.0,32.0,34.0,26.0
18.0,8.0,20.0,12.0,40.0,16.0,32.0,32.0,26.0,38.0,26.0,32.0,32.0,42.0,42.0,44.0,44.0,42.0,40.0,58.0
10.0,20.0,14.0,20.0,8.0,22.0,24.0,36.0,26.0,46.0,30.0,40.0,38.0,32.0,28.0,34.0,30.0,26.0,36.0,50.0
14.0,10.0,16.0,16.0,14.0,20.0,30.0,20.0,32.0,38.0,32.0,24.0,44.0,36.0,44.0,62.0,56.0,48.0,50.0,34.0

Averages:
12.0,14.4,19.0,26.8,27.2,26.2,30.8,29.0,27.8,36.0,29.8,30.6,38.0,36.4,40.2,39.6,38.4,40.8,41.8,43.2
Standard deviations:
4.560701700396552,4.963869458396342,6.276941930590086,8.772684879784524,10.476640682967036,7.871467461661771,3.249615361854384,4.919349550499537,6.539113089708726,6.387487769068525,8.6,7.102112361825881,8.246211251235321,6.681317235396026,7.453858061433689,8.935323161475472,10.307278981380101,9.682974749528164,8.459314393022641,12.006664815842909



