Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598472158.902334,1598473030.9946399,1598473779.949276,1598474544.669729,1598475305.9741702,1598476066.1013162,1598476817.538465,1598477587.5513961,1598478364.681309,1598479125.9464839


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,2.0,4.0,16.0,4.0,10.0,6.0,10.0,12.0,12.0,12.0,8.0,8.0,14.0,12.0,14.0,14.0,14.0,10.0,8.0
18.0,12.0,14.0,14.0,6.0,10.0,10.0,10.0,6.0,18.0,18.0,2.0,8.0,6.0,12.0,10.0,12.0,14.0,8.0,6.0
10.0,14.0,14.0,16.0,4.0,14.0,10.0,4.0,4.0,6.0,12.0,10.0,4.0,2.0,14.0,10.0,10.0,12.0,12.0,18.0
8.0,14.0,14.0,14.0,10.0,14.0,8.0,8.0,14.0,10.0,10.0,8.0,8.0,18.0,12.0,6.0,10.0,6.0,10.0,10.0
14.0,16.0,14.0,10.0,6.0,16.0,14.0,10.0,20.0,8.0,6.0,6.0,6.0,10.0,10.0,12.0,12.0,14.0,10.0,12.0
4.0,14.0,14.0,10.0,10.0,8.0,18.0,16.0,8.0,14.0,4.0,8.0,8.0,14.0,14.0,8.0,4.0,14.0,6.0,12.0
6.0,10.0,16.0,8.0,16.0,12.0,18.0,6.0,4.0,12.0,8.0,4.0,12.0,6.0,8.0,12.0,20.0,4.0,4.0,12.0
18.0,16.0,16.0,12.0,18.0,16.0,6.0,14.0,12.0,8.0,6.0,16.0,4.0,8.0,12.0,12.0,8.0,12.0,14.0,4.0
10.0,14.0,18.0,10.0,10.0,10.0,16.0,6.0,14.0,12.0,8.0,8.0,14.0,8.0,14.0,10.0,6.0,8.0,2.0,18.0
12.0,8.0,10.0,8.0,16.0,12.0,12.0,10.0,10.0,16.0,14.0,4.0,14.0,14.0,6.0,14.0,10.0,12.0,8.0,10.0

Averages:
11.2,12.0,13.4,11.8,10.0,12.2,11.8,9.4,10.4,11.6,9.8,7.4,8.6,10.0,11.4,10.8,10.6,11.0,8.4,11.0
Standard deviations:
4.4,4.09878030638384,3.6932370625238775,2.8913664589601926,4.898979485566356,2.6,4.331281565541543,3.4698703145794942,4.8,3.555277766926235,4.044749683231338,3.693237062523877,3.4698703145794947,4.6475800154489,2.5377155080899043,2.4,4.2,3.492849839314596,3.4409301068170506,4.312771730569565



