Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1597352588.665343,1597354019.765756,1597355413.330558,1597356809.731219,1597358198.129313,1597359585.190665,1597360962.948307,1597362357.1831748,1597363760.121634,1597365158.777219


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,4.0,10.0,4.0,14.0,10.0,8.0,12.0,12.0,8.0,12.0,4.0,10.0,12.0,8.0,8.0,6.0,16.0,8.0,4.0
2.0,6.0,12.0,12.0,8.0,12.0,10.0,2.0,6.0,4.0,10.0,16.0,12.0,12.0,14.0,12.0,8.0,12.0,10.0,10.0
8.0,8.0,6.0,10.0,10.0,8.0,12.0,12.0,10.0,16.0,10.0,6.0,10.0,6.0,12.0,12.0,12.0,10.0,2.0,14.0
16.0,6.0,6.0,20.0,16.0,10.0,8.0,14.0,14.0,16.0,14.0,12.0,4.0,8.0,16.0,8.0,10.0,10.0,16.0,12.0
10.0,8.0,8.0,12.0,12.0,8.0,12.0,4.0,8.0,12.0,8.0,12.0,4.0,4.0,6.0,6.0,8.0,12.0,6.0,6.0
6.0,16.0,16.0,12.0,16.0,16.0,6.0,6.0,8.0,12.0,8.0,18.0,12.0,0.0,14.0,12.0,6.0,2.0,4.0,12.0
8.0,6.0,6.0,6.0,4.0,10.0,8.0,6.0,4.0,14.0,10.0,10.0,2.0,12.0,8.0,18.0,6.0,8.0,12.0,8.0
8.0,10.0,10.0,14.0,18.0,10.0,18.0,10.0,4.0,4.0,10.0,10.0,12.0,12.0,14.0,14.0,10.0,2.0,2.0,14.0
8.0,0.0,14.0,4.0,14.0,4.0,8.0,12.0,12.0,14.0,6.0,12.0,8.0,8.0,16.0,14.0,10.0,4.0,10.0,14.0
12.0,10.0,10.0,16.0,16.0,10.0,12.0,2.0,10.0,12.0,10.0,8.0,12.0,14.0,6.0,8.0,0.0,10.0,10.0,6.0

Averages:
8.8,7.4,9.8,11.0,12.8,9.8,10.2,8.0,8.8,11.2,9.8,10.8,8.6,8.8,11.4,11.2,7.6,8.6,8.0,10.0
Standard deviations:
3.4871191548325386,4.004996878900157,3.2802438933713454,4.919349550499537,4.1182520563948,2.891366458960192,3.2802438933713454,4.2895221179054435,3.249615361854384,4.214261501141095,2.08806130178211,4.019950248448357,3.693237062523877,4.214261501141095,3.8,3.4871191548325386,3.2,4.386342439892262,4.2895221179054435,3.5777087639996634



