Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598228067.385188,1598229423.795959,1598230772.246001,1598232138.232736,1598233498.3122509,1598234862.204732,1598236226.05352,1598237597.5767438,1598238974.465873,1598240344.9994721


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,8.0,20.0,12.0,18.0,22.0,14.0,30.0,40.0,22.0,28.0,26.0,46.0,36.0,16.0,28.0,26.0,32.0,26.0,36.0
8.0,10.0,10.0,12.0,16.0,32.0,28.0,28.0,32.0,22.0,26.0,26.0,28.0,22.0,36.0,38.0,24.0,26.0,22.0,20.0
6.0,24.0,28.0,26.0,26.0,44.0,32.0,36.0,20.0,30.0,34.0,24.0,30.0,32.0,22.0,22.0,38.0,34.0,28.0,24.0
4.0,14.0,20.0,22.0,24.0,20.0,32.0,18.0,22.0,32.0,32.0,26.0,28.0,22.0,28.0,30.0,44.0,32.0,50.0,20.0
4.0,14.0,12.0,30.0,20.0,20.0,24.0,16.0,28.0,38.0,34.0,34.0,28.0,28.0,30.0,34.0,34.0,32.0,18.0,40.0
6.0,10.0,18.0,20.0,26.0,20.0,22.0,18.0,34.0,18.0,26.0,36.0,36.0,38.0,34.0,24.0,36.0,42.0,34.0,36.0
12.0,10.0,20.0,20.0,32.0,32.0,24.0,28.0,26.0,30.0,24.0,30.0,16.0,24.0,16.0,30.0,30.0,32.0,28.0,18.0
6.0,24.0,20.0,12.0,24.0,16.0,30.0,14.0,22.0,20.0,30.0,36.0,22.0,32.0,40.0,30.0,22.0,34.0,44.0,40.0
10.0,6.0,22.0,8.0,18.0,26.0,26.0,28.0,34.0,20.0,24.0,30.0,32.0,28.0,26.0,30.0,30.0,32.0,44.0,34.0
6.0,12.0,22.0,18.0,26.0,26.0,18.0,22.0,28.0,22.0,24.0,36.0,30.0,32.0,40.0,22.0,42.0,38.0,26.0,28.0

Averages:
7.0,13.2,19.2,18.0,23.0,25.8,25.0,23.8,28.6,25.4,28.2,30.4,29.6,29.4,28.8,28.8,32.6,33.4,32.0,29.6
Standard deviations:
2.4083189157584592,5.878775382679628,4.833218389437829,6.6332495807108,4.669047011971501,7.87146746166177,5.60357029044876,6.838128398911503,6.069596362197407,6.2641839053463295,3.8418745424597094,4.5431266766402185,7.525955088890711,5.29528091794949,8.44748483277715,4.833218389437828,7.10211236182588,4.004996878900157,10.079682534683322,8.187795796183488



