Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598228067.385188,1598229423.795959,1598230772.246001,1598232138.232736,1598233498.3122509,1598234862.204732,1598236226.05352,1598237597.5767438,1598238974.465873,1598240344.9994721


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,14.0,8.0,12.0,8.0,10.0,6.0,4.0,12.0,4.0,16.0,16.0,4.0,10.0,8.0,12.0,14.0,14.0,6.0,10.0
8.0,14.0,12.0,10.0,12.0,6.0,8.0,18.0,10.0,12.0,12.0,16.0,10.0,16.0,12.0,12.0,8.0,14.0,6.0,6.0
6.0,12.0,10.0,12.0,8.0,6.0,2.0,6.0,12.0,8.0,12.0,6.0,4.0,12.0,8.0,12.0,16.0,4.0,12.0,4.0
4.0,12.0,12.0,14.0,14.0,16.0,6.0,10.0,4.0,12.0,22.0,4.0,6.0,10.0,12.0,14.0,10.0,16.0,18.0,12.0
4.0,12.0,6.0,4.0,12.0,8.0,16.0,4.0,2.0,8.0,10.0,4.0,12.0,6.0,18.0,6.0,10.0,26.0,14.0,8.0
6.0,4.0,16.0,6.0,18.0,12.0,10.0,6.0,6.0,6.0,8.0,8.0,12.0,8.0,12.0,14.0,10.0,12.0,4.0,14.0
12.0,10.0,10.0,4.0,6.0,12.0,8.0,10.0,10.0,2.0,8.0,4.0,6.0,12.0,16.0,4.0,16.0,6.0,14.0,12.0
6.0,8.0,10.0,12.0,10.0,14.0,10.0,8.0,16.0,14.0,10.0,10.0,12.0,6.0,4.0,18.0,12.0,10.0,6.0,8.0
10.0,14.0,8.0,10.0,6.0,12.0,12.0,8.0,14.0,6.0,8.0,6.0,10.0,12.0,16.0,8.0,10.0,8.0,8.0,14.0
6.0,10.0,6.0,10.0,4.0,6.0,16.0,6.0,8.0,12.0,14.0,8.0,12.0,8.0,8.0,16.0,12.0,12.0,12.0,10.0

Averages:
7.0,11.0,9.8,9.4,9.8,10.2,9.4,8.0,9.4,8.4,12.0,8.2,8.8,10.0,11.4,11.6,11.8,12.2,10.0,9.8
Standard deviations:
2.4083189157584592,3.0,2.8913664589601926,3.352610922848042,4.044749683231338,3.4000000000000004,4.2,3.8987177379235853,4.2,3.7735924528226414,4.1952353926806065,4.331281565541543,3.249615361854384,2.9664793948382653,4.2,4.17612260356422,2.6000000000000005,5.8275209137333865,4.381780460041329,3.1559467676119



