Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,14.0,16.0,8.0,12.0,28.0,28.0,42.0,30.0,12.0,34.0,26.0,38.0,28.0,26.0,46.0,36.0,26.0,32.0,26.0
6.0,10.0,8.0,24.0,22.0,26.0,22.0,32.0,26.0,28.0,26.0,26.0,14.0,20.0,38.0,20.0,22.0,20.0,30.0,30.0
12.0,20.0,14.0,8.0,10.0,26.0,16.0,26.0,16.0,22.0,30.0,24.0,32.0,24.0,32.0,26.0,32.0,42.0,24.0,46.0
6.0,18.0,20.0,12.0,26.0,16.0,20.0,24.0,16.0,22.0,20.0,14.0,34.0,14.0,24.0,24.0,28.0,34.0,28.0,20.0
6.0,22.0,14.0,16.0,4.0,16.0,20.0,24.0,10.0,26.0,26.0,26.0,28.0,16.0,26.0,26.0,30.0,40.0,16.0,30.0
10.0,10.0,10.0,8.0,8.0,18.0,22.0,16.0,20.0,24.0,38.0,24.0,24.0,28.0,30.0,24.0,18.0,34.0,26.0,24.0
4.0,18.0,16.0,22.0,16.0,18.0,22.0,16.0,18.0,22.0,14.0,20.0,18.0,30.0,16.0,18.0,14.0,28.0,22.0,16.0
4.0,16.0,28.0,12.0,6.0,24.0,14.0,18.0,30.0,26.0,18.0,20.0,8.0,28.0,24.0,14.0,40.0,26.0,28.0,28.0
10.0,10.0,16.0,22.0,8.0,34.0,24.0,32.0,32.0,30.0,26.0,26.0,26.0,30.0,38.0,26.0,36.0,26.0,30.0,32.0
12.0,6.0,10.0,10.0,18.0,22.0,32.0,22.0,30.0,28.0,28.0,22.0,34.0,26.0,24.0,22.0,26.0,28.0,30.0,30.0

Averages:
7.6,14.4,15.2,14.2,13.0,22.8,22.0,25.2,22.8,24.0,26.0,22.8,25.6,24.4,27.8,24.6,28.2,30.4,26.6,28.2
Standard deviations:
2.9393876913398134,4.963869458396343,5.455272678794342,6.029925372672534,6.884765791223402,5.6000000000000005,4.979959839195493,7.807688518377254,7.332121111929345,4.8166378315169185,6.870225614927067,3.7094473981982814,9.2,5.499090833947008,6.477653896280659,8.052328855678958,7.922120928135344,6.560487786742691,4.565084884205332,7.6131465242697125



