Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,4.0,18.0,14.0,30.0,22.0,28.0,28.0,36.0,28.0,36.0,34.0,34.0,44.0,34.0,30.0,30.0,36.0,34.0,40.0
10.0,8.0,12.0,18.0,24.0,20.0,28.0,18.0,26.0,12.0,38.0,38.0,22.0,20.0,16.0,30.0,34.0,34.0,32.0,26.0
10.0,18.0,28.0,46.0,22.0,22.0,32.0,12.0,22.0,24.0,42.0,32.0,28.0,34.0,32.0,40.0,22.0,34.0,26.0,24.0
14.0,12.0,20.0,20.0,22.0,24.0,24.0,22.0,30.0,28.0,36.0,32.0,30.0,30.0,38.0,30.0,40.0,28.0,36.0,26.0
20.0,20.0,22.0,18.0,16.0,20.0,26.0,40.0,44.0,42.0,34.0,42.0,34.0,28.0,24.0,28.0,36.0,38.0,28.0,36.0
8.0,10.0,24.0,18.0,16.0,20.0,14.0,26.0,20.0,22.0,28.0,30.0,30.0,40.0,30.0,28.0,20.0,40.0,32.0,34.0
8.0,22.0,34.0,12.0,34.0,18.0,26.0,20.0,30.0,36.0,24.0,18.0,36.0,36.0,42.0,38.0,40.0,30.0,40.0,52.0
14.0,16.0,26.0,28.0,34.0,20.0,20.0,26.0,38.0,34.0,24.0,38.0,46.0,32.0,20.0,30.0,18.0,40.0,24.0,22.0
10.0,14.0,8.0,10.0,18.0,16.0,18.0,18.0,16.0,12.0,14.0,16.0,22.0,18.0,22.0,14.0,26.0,20.0,22.0,38.0
12.0,4.0,20.0,24.0,24.0,28.0,24.0,30.0,30.0,46.0,30.0,38.0,38.0,40.0,24.0,42.0,26.0,36.0,38.0,32.0

Averages:
11.0,12.8,21.2,20.8,24.0,21.0,24.0,24.0,29.2,28.4,30.6,31.8,32.0,32.2,28.2,31.0,29.2,33.6,31.2,33.0
Standard deviations:
4.123105625617661,6.013318551349164,7.166589146867568,9.806120537705011,6.387487769068525,3.1304951684997055,5.059644256269407,7.429670248402684,8.158431221748454,10.87382177525455,7.901898506055364,8.1706792863262,6.928203230275509,8.072174428244226,7.922120928135344,7.496665925596525,7.652450587883597,5.851495535331117,5.741080037762929,8.637129152675673



