Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,18.0,16.0,18.0,10.0,22.0,24.0,22.0,20.0,28.0,22.0,30.0,36.0,34.0,30.0,22.0,30.0,30.0,20.0,32.0
10.0,18.0,12.0,16.0,20.0,34.0,20.0,16.0,14.0,16.0,26.0,34.0,22.0,24.0,26.0,22.0,24.0,26.0,28.0,22.0
10.0,8.0,16.0,26.0,20.0,18.0,32.0,18.0,28.0,32.0,36.0,24.0,40.0,38.0,24.0,36.0,20.0,24.0,38.0,34.0
14.0,12.0,20.0,14.0,22.0,12.0,28.0,22.0,16.0,22.0,16.0,16.0,14.0,22.0,26.0,18.0,18.0,24.0,20.0,14.0
20.0,14.0,8.0,20.0,20.0,34.0,28.0,24.0,32.0,26.0,24.0,24.0,36.0,26.0,28.0,28.0,34.0,28.0,20.0,22.0
8.0,8.0,16.0,22.0,14.0,14.0,26.0,32.0,22.0,20.0,22.0,26.0,34.0,30.0,32.0,20.0,20.0,30.0,28.0,30.0
8.0,12.0,24.0,20.0,24.0,20.0,20.0,20.0,12.0,24.0,28.0,14.0,36.0,16.0,20.0,34.0,32.0,34.0,38.0,40.0
14.0,8.0,18.0,18.0,18.0,14.0,28.0,24.0,30.0,38.0,26.0,28.0,22.0,32.0,26.0,32.0,26.0,30.0,32.0,26.0
10.0,14.0,12.0,16.0,30.0,24.0,24.0,20.0,32.0,14.0,36.0,18.0,26.0,20.0,24.0,34.0,30.0,20.0,24.0,28.0
12.0,12.0,12.0,24.0,12.0,20.0,28.0,18.0,26.0,24.0,24.0,32.0,16.0,22.0,30.0,32.0,28.0,42.0,22.0,18.0

Averages:
11.0,12.4,15.4,19.4,19.0,21.2,25.8,21.6,23.2,24.4,26.0,24.6,28.2,26.4,26.6,27.8,26.2,28.8,27.0,26.6
Standard deviations:
4.123105625617661,3.555277766926235,4.386342439892261,3.583294573433783,5.60357029044876,7.332121111929345,3.627671429443411,4.2708313008125245,7.110555533852471,6.8,5.865151319446072,6.452906321960671,8.874683092933516,6.560487786742691,3.352610922848042,6.352952069707436,5.249761899362675,5.81033561853358,6.708203932499369,7.432361670424818



