Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597677945.401613,1597679316.368051,1597680694.269577,1597682075.146832,1597683464.141563,1597684851.831855,1597686233.3160598,1597687618.2867122,1597689017.952092,1597690416.3087502


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,26.0,14.0,30.0,22.0,50.0,42.0,44.0,34.0,40.0,38.0,44.0,46.0,44.0,38.0,32.0,28.0,28.0,54.0,56.0
20.0,24.0,18.0,16.0,36.0,26.0,32.0,34.0,30.0,44.0,32.0,42.0,44.0,34.0,48.0,38.0,60.0,48.0,42.0,30.0
4.0,12.0,16.0,22.0,34.0,22.0,36.0,28.0,38.0,46.0,20.0,26.0,38.0,34.0,42.0,40.0,42.0,46.0,50.0,52.0
6.0,20.0,14.0,14.0,12.0,12.0,24.0,34.0,48.0,42.0,26.0,30.0,34.0,42.0,42.0,38.0,46.0,48.0,38.0,46.0
4.0,18.0,10.0,28.0,44.0,36.0,34.0,44.0,38.0,40.0,60.0,34.0,38.0,38.0,38.0,46.0,36.0,46.0,40.0,46.0
14.0,8.0,12.0,20.0,18.0,32.0,18.0,28.0,26.0,32.0,30.0,36.0,38.0,38.0,38.0,22.0,22.0,48.0,52.0,50.0
6.0,16.0,10.0,22.0,18.0,16.0,16.0,22.0,32.0,26.0,26.0,40.0,46.0,46.0,48.0,48.0,42.0,44.0,40.0,44.0
6.0,8.0,16.0,30.0,32.0,46.0,36.0,42.0,32.0,30.0,54.0,44.0,46.0,52.0,52.0,50.0,44.0,54.0,34.0,62.0
6.0,12.0,18.0,6.0,38.0,22.0,22.0,30.0,22.0,42.0,38.0,26.0,26.0,38.0,40.0,40.0,52.0,32.0,40.0,40.0
14.0,8.0,12.0,16.0,24.0,14.0,32.0,26.0,30.0,32.0,30.0,34.0,34.0,38.0,30.0,38.0,34.0,32.0,38.0,26.0

Averages:
9.0,15.2,14.0,20.4,27.8,27.6,29.2,33.2,33.0,37.4,35.4,35.6,39.0,40.4,41.6,39.2,40.6,42.6,42.8,45.2
Standard deviations:
5.079370039680118,6.337191807101944,2.8284271247461903,7.310266752998826,9.897474425326898,12.483589227461788,8.207313811473277,7.4404300950953095,6.826419266350405,6.452906321960671,12.034949106664307,6.499230723708768,6.276941930590086,5.3516352641038605,6.053098380168622,7.704544113703289,10.584894897919392,8.248636250920512,6.3999999999999995,10.476640682967036



