Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597410461.089772,1597411854.9919832,1597413229.02229,1597414640.761747,1597416050.494389,1597417501.984562,1597418993.898319,1597420464.910033,1597421964.807251,1597423453.52144


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,10.0,20.0,18.0,30.0,34.0,48.0,24.0,26.0,38.0,26.0,28.0,34.0,26.0,32.0,42.0,54.0,54.0,52.0,54.0
10.0,30.0,26.0,30.0,34.0,36.0,46.0,40.0,26.0,46.0,28.0,32.0,34.0,46.0,48.0,48.0,34.0,52.0,44.0,34.0
6.0,12.0,10.0,16.0,10.0,22.0,20.0,24.0,24.0,28.0,28.0,24.0,34.0,32.0,20.0,34.0,46.0,50.0,44.0,36.0
12.0,12.0,18.0,22.0,18.0,32.0,22.0,20.0,40.0,42.0,26.0,34.0,32.0,28.0,32.0,46.0,36.0,40.0,44.0,44.0
12.0,16.0,28.0,8.0,20.0,18.0,40.0,34.0,44.0,30.0,38.0,28.0,18.0,48.0,28.0,34.0,40.0,34.0,36.0,36.0
12.0,20.0,24.0,16.0,32.0,24.0,36.0,28.0,34.0,32.0,24.0,54.0,42.0,50.0,38.0,44.0,44.0,42.0,60.0,40.0
10.0,24.0,18.0,30.0,28.0,36.0,32.0,34.0,24.0,44.0,32.0,30.0,38.0,30.0,40.0,36.0,36.0,30.0,26.0,38.0
8.0,22.0,16.0,34.0,36.0,18.0,24.0,30.0,36.0,52.0,22.0,40.0,44.0,54.0,32.0,48.0,48.0,46.0,44.0,58.0
16.0,14.0,26.0,28.0,24.0,18.0,20.0,38.0,38.0,46.0,26.0,42.0,42.0,34.0,40.0,44.0,34.0,44.0,38.0,34.0
10.0,10.0,10.0,18.0,10.0,22.0,34.0,20.0,40.0,32.0,34.0,42.0,30.0,36.0,30.0,40.0,44.0,30.0,60.0,40.0

Averages:
10.8,17.0,19.6,22.0,24.2,26.0,32.2,29.2,33.2,39.0,28.4,35.4,34.8,38.4,34.0,41.6,41.6,42.2,44.8,41.4
Standard deviations:
2.5612496949731396,6.4031242374328485,6.118823416311342,7.797435475847171,8.964373932405989,7.26636084983398,9.937806599043874,6.823488843692792,7.166589146867567,7.758865896508329,4.6303347611160905,8.581375181169975,7.166589146867567,9.624967532412771,7.37563556583431,5.122499389946279,6.374950980203691,8.268010643437755,9.96794863550169,7.901898506055365



