Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597454369.0818748,1597455746.036341,1597457131.603968,1597458515.086592,1597459897.497495,1597461286.848043,1597462689.1474838,1597464099.862176,1597465511.823997,1597466917.446673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,20.0,26.0,36.0,46.0,40.0,46.0,42.0,30.0,40.0,44.0,40.0,42.0,42.0,24.0,46.0,38.0,32.0,42.0,50.0
10.0,10.0,24.0,10.0,8.0,20.0,36.0,46.0,34.0,42.0,34.0,44.0,20.0,32.0,34.0,50.0,46.0,54.0,46.0,44.0
12.0,22.0,18.0,28.0,20.0,18.0,36.0,28.0,38.0,34.0,32.0,30.0,44.0,54.0,46.0,48.0,42.0,58.0,40.0,42.0
12.0,6.0,14.0,20.0,18.0,32.0,36.0,36.0,30.0,40.0,38.0,42.0,52.0,32.0,44.0,40.0,42.0,46.0,52.0,46.0
10.0,14.0,18.0,26.0,8.0,18.0,16.0,32.0,36.0,42.0,26.0,32.0,38.0,44.0,48.0,36.0,26.0,42.0,46.0,48.0
10.0,22.0,16.0,10.0,28.0,26.0,38.0,32.0,46.0,38.0,30.0,36.0,26.0,44.0,22.0,44.0,40.0,44.0,44.0,48.0
14.0,16.0,28.0,24.0,16.0,26.0,28.0,30.0,36.0,24.0,16.0,18.0,32.0,34.0,42.0,48.0,28.0,38.0,40.0,54.0
10.0,16.0,26.0,26.0,22.0,20.0,26.0,26.0,34.0,36.0,30.0,38.0,34.0,44.0,40.0,40.0,48.0,50.0,28.0,28.0
6.0,8.0,10.0,28.0,32.0,20.0,42.0,26.0,34.0,30.0,32.0,38.0,26.0,28.0,38.0,28.0,42.0,56.0,48.0,56.0
14.0,14.0,14.0,18.0,28.0,16.0,24.0,32.0,32.0,42.0,24.0,32.0,34.0,42.0,44.0,42.0,46.0,40.0,54.0,40.0

Averages:
10.4,14.8,19.4,22.6,22.6,23.6,32.8,33.0,35.0,36.8,30.6,35.0,34.8,39.6,38.2,42.2,39.8,46.0,44.0,45.6
Standard deviations:
2.65329983228432,5.30659966456864,5.868560300448483,7.8,10.919706955774958,7.144228439796701,8.634813257969162,6.276941930590086,4.404543109109048,5.67097875150313,7.2691127381545,7.113367697511496,9.086253353280437,7.472616676907762,8.506468127254696,6.289674077406555,7.011419257183242,8.0,6.928203230275509,7.525955088890711



