Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597454369.0818748,1597455746.036341,1597457131.603968,1597458515.086592,1597459897.497495,1597461286.848043,1597462689.1474838,1597464099.862176,1597465511.823997,1597466917.446673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,8.0,6.0,14.0,6.0,8.0,8.0,10.0,12.0,14.0,8.0,4.0,4.0,10.0,14.0,18.0,8.0,10.0,14.0,10.0
10.0,8.0,14.0,10.0,14.0,14.0,8.0,10.0,12.0,8.0,16.0,12.0,10.0,8.0,12.0,8.0,0.0,16.0,4.0,10.0
12.0,0.0,4.0,10.0,10.0,8.0,14.0,12.0,6.0,14.0,18.0,10.0,8.0,12.0,6.0,6.0,6.0,10.0,8.0,8.0
12.0,2.0,6.0,14.0,12.0,4.0,22.0,6.0,18.0,16.0,10.0,8.0,4.0,6.0,16.0,8.0,8.0,6.0,12.0,12.0
10.0,4.0,16.0,8.0,10.0,16.0,4.0,8.0,6.0,10.0,12.0,14.0,6.0,10.0,14.0,16.0,8.0,4.0,8.0,8.0
10.0,8.0,18.0,10.0,6.0,12.0,12.0,12.0,4.0,14.0,14.0,16.0,10.0,14.0,14.0,2.0,14.0,8.0,8.0,8.0
14.0,14.0,14.0,10.0,8.0,10.0,8.0,10.0,12.0,10.0,8.0,8.0,6.0,10.0,14.0,6.0,16.0,6.0,12.0,16.0
10.0,12.0,12.0,12.0,16.0,4.0,10.0,8.0,16.0,6.0,8.0,10.0,16.0,4.0,14.0,14.0,8.0,4.0,18.0,4.0
6.0,6.0,12.0,14.0,16.0,10.0,8.0,8.0,12.0,8.0,14.0,8.0,8.0,8.0,6.0,20.0,18.0,4.0,6.0,14.0
14.0,12.0,4.0,6.0,12.0,6.0,6.0,20.0,6.0,18.0,10.0,8.0,6.0,4.0,8.0,14.0,16.0,16.0,14.0,10.0

Averages:
10.4,7.4,10.6,10.8,11.0,9.2,10.0,10.4,10.4,11.8,11.8,9.8,7.8,8.6,11.8,11.2,10.2,8.4,10.4,10.0
Standard deviations:
2.65329983228432,4.294182110716778,4.903060268852506,2.5612496949731396,3.492849839314596,3.815756805667783,4.8166378315169185,3.6660605559646724,4.454211490264018,3.7363083384538807,3.4000000000000004,3.2802438933713454,3.4,3.1048349392520045,3.515679166249389,5.670978751503131,5.325410782277739,4.363484845854286,4.079215610874228,3.22490309931942



