Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597454369.0818748,1597455746.036341,1597457131.603968,1597458515.086592,1597459897.497495,1597461286.848043,1597462689.1474838,1597464099.862176,1597465511.823997,1597466917.446673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,14.0,8.0,12.0,8.0,4.0,14.0,6.0,10.0,6.0,4.0,12.0,12.0,10.0,10.0,4.0,12.0,12.0,16.0,10.0
10.0,6.0,16.0,12.0,18.0,8.0,14.0,12.0,8.0,4.0,8.0,12.0,6.0,10.0,10.0,6.0,16.0,10.0,4.0,12.0
12.0,8.0,10.0,12.0,6.0,6.0,10.0,10.0,14.0,10.0,10.0,8.0,16.0,10.0,8.0,12.0,8.0,14.0,6.0,8.0
12.0,6.0,12.0,6.0,16.0,18.0,10.0,6.0,8.0,4.0,10.0,8.0,20.0,16.0,16.0,14.0,8.0,6.0,14.0,12.0
10.0,6.0,12.0,14.0,10.0,10.0,12.0,6.0,12.0,8.0,8.0,18.0,6.0,8.0,6.0,10.0,10.0,6.0,10.0,4.0
10.0,12.0,10.0,10.0,10.0,14.0,10.0,10.0,14.0,8.0,8.0,6.0,2.0,12.0,4.0,6.0,8.0,10.0,10.0,10.0
14.0,8.0,4.0,10.0,8.0,10.0,18.0,8.0,14.0,12.0,6.0,12.0,12.0,6.0,6.0,4.0,6.0,8.0,10.0,8.0
10.0,6.0,6.0,2.0,10.0,10.0,20.0,10.0,10.0,12.0,8.0,4.0,10.0,14.0,8.0,14.0,10.0,0.0,8.0,8.0
6.0,4.0,4.0,14.0,10.0,6.0,4.0,4.0,10.0,18.0,6.0,20.0,8.0,10.0,6.0,8.0,16.0,16.0,10.0,12.0
14.0,20.0,14.0,18.0,10.0,6.0,6.0,22.0,8.0,12.0,12.0,6.0,12.0,12.0,16.0,14.0,10.0,8.0,12.0,10.0

Averages:
10.4,9.0,9.6,11.0,10.6,9.2,11.8,9.4,10.8,9.4,8.0,10.6,10.4,10.8,9.0,9.2,10.4,9.0,10.0,9.4
Standard deviations:
2.65329983228432,4.669047011971501,3.8781438859330635,4.219004621945797,3.4698703145794942,4.019950248448357,4.686149805543993,4.8207883172775805,2.4,4.103656905736638,2.1908902300206643,4.983974317750845,4.963869458396343,2.7129319932501073,3.924283374069717,3.9191835884530852,3.1999999999999997,4.312771730569565,3.3466401061363023,2.3748684174075834



