Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597580729.346008,1597582271.9817789,1597583756.465591,1597585133.884796,1597586608.333463,1597588087.1960802,1597589486.061323,1597590968.365494,1597592567.823884,1597594086.307673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,12.0,12.0,12.0,8.0,8.0,8.0,10.0,0.0,6.0,4.0,12.0,4.0,6.0,10.0,8.0,2.0,14.0,16.0,6.0
20.0,10.0,14.0,6.0,14.0,10.0,16.0,6.0,12.0,10.0,4.0,6.0,8.0,14.0,16.0,10.0,14.0,18.0,10.0,12.0
8.0,10.0,12.0,16.0,2.0,8.0,16.0,2.0,16.0,6.0,12.0,10.0,12.0,8.0,14.0,6.0,10.0,10.0,16.0,10.0
10.0,10.0,24.0,8.0,14.0,4.0,22.0,10.0,10.0,14.0,8.0,8.0,6.0,14.0,18.0,8.0,12.0,6.0,8.0,10.0
10.0,10.0,12.0,8.0,10.0,14.0,4.0,8.0,4.0,12.0,14.0,6.0,0.0,12.0,12.0,10.0,8.0,6.0,12.0,16.0
6.0,12.0,10.0,14.0,10.0,14.0,10.0,6.0,14.0,10.0,8.0,16.0,4.0,6.0,12.0,6.0,16.0,6.0,8.0,6.0
12.0,4.0,18.0,8.0,16.0,4.0,6.0,10.0,14.0,6.0,10.0,18.0,10.0,16.0,4.0,10.0,6.0,12.0,16.0,10.0
10.0,4.0,14.0,2.0,4.0,10.0,10.0,8.0,10.0,4.0,10.0,12.0,4.0,6.0,8.0,8.0,6.0,6.0,8.0,4.0
12.0,10.0,6.0,12.0,20.0,2.0,8.0,20.0,16.0,10.0,14.0,6.0,8.0,4.0,8.0,6.0,4.0,10.0,8.0,6.0
10.0,10.0,8.0,14.0,4.0,16.0,4.0,8.0,8.0,20.0,14.0,8.0,6.0,12.0,8.0,10.0,10.0,8.0,6.0,20.0

Averages:
10.8,9.2,13.0,10.0,10.2,9.0,10.4,8.8,10.4,9.8,9.8,10.2,6.2,9.8,11.0,8.2,8.8,9.6,10.8,10.0
Standard deviations:
3.4871191548325386,2.7129319932501073,4.8373546489791295,4.09878030638384,5.54616984954482,4.494441010848846,5.571355310873647,4.4,4.963869458396343,4.512205669071391,3.627671429443411,4.044749683231337,3.2802438933713454,4.044749683231337,4.024922359499621,1.6613247725836149,4.214261501141095,3.878143885933063,3.7094473981982814,4.732863826479693



