Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597580729.346008,1597582271.9817789,1597583756.465591,1597585133.884796,1597586608.333463,1597588087.1960802,1597589486.061323,1597590968.365494,1597592567.823884,1597594086.307673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,12.0,6.0,12.0,0.0,8.0,10.0,4.0,12.0,8.0,6.0,14.0,18.0,8.0,12.0,6.0,10.0,6.0,10.0,8.0
20.0,6.0,12.0,10.0,6.0,2.0,10.0,6.0,12.0,10.0,14.0,8.0,8.0,4.0,24.0,8.0,12.0,6.0,16.0,6.0
8.0,14.0,8.0,6.0,8.0,2.0,8.0,8.0,4.0,2.0,16.0,2.0,8.0,14.0,6.0,16.0,8.0,4.0,12.0,12.0
10.0,4.0,4.0,14.0,14.0,12.0,2.0,8.0,4.0,12.0,8.0,10.0,8.0,6.0,8.0,6.0,8.0,4.0,10.0,8.0
10.0,10.0,8.0,2.0,12.0,16.0,10.0,16.0,10.0,4.0,6.0,16.0,10.0,6.0,24.0,10.0,8.0,10.0,10.0,12.0
6.0,2.0,10.0,18.0,14.0,6.0,10.0,4.0,4.0,18.0,10.0,10.0,10.0,2.0,12.0,12.0,6.0,8.0,10.0,10.0
12.0,4.0,10.0,6.0,6.0,8.0,12.0,6.0,6.0,12.0,12.0,12.0,8.0,8.0,10.0,16.0,8.0,4.0,10.0,8.0
10.0,18.0,4.0,20.0,12.0,6.0,18.0,12.0,6.0,18.0,4.0,4.0,6.0,6.0,14.0,10.0,8.0,20.0,14.0,10.0
12.0,6.0,8.0,16.0,10.0,10.0,16.0,4.0,12.0,12.0,10.0,14.0,10.0,10.0,12.0,14.0,14.0,10.0,8.0,2.0
10.0,10.0,10.0,8.0,4.0,4.0,8.0,8.0,18.0,10.0,2.0,8.0,8.0,20.0,8.0,18.0,6.0,14.0,8.0,16.0

Averages:
10.8,8.6,8.0,11.2,8.6,7.4,10.4,7.6,8.8,10.6,8.8,9.8,9.4,8.4,13.0,11.6,8.8,8.6,10.8,9.2
Standard deviations:
3.4871191548325386,4.8207883172775805,2.5298221281347035,5.528109984434102,4.386342439892262,4.2,4.176122603564219,3.6660605559646724,4.48998886412873,4.903060268852506,4.214261501141095,4.237924020083418,3.1048349392520054,4.963869458396343,5.9497899122574065,4.079215610874228,2.4,4.903060268852505,2.4,3.6



