Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597651941.4120698,1597653526.1150331,1597655024.469524,1597656644.035724,1597658109.7472599,1597659604.6603572,1597661087.615366,1597662503.808356,1597663920.3950698,1597665326.868704


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

20.0,24.0,12.0,8.0,8.0,20.0,22.0,30.0,42.0,32.0,28.0,34.0,36.0,32.0,40.0,36.0,38.0,46.0,46.0,44.0
20.0,16.0,16.0,30.0,26.0,30.0,20.0,36.0,34.0,52.0,48.0,38.0,50.0,38.0,34.0,32.0,30.0,34.0,38.0,42.0
8.0,12.0,12.0,34.0,36.0,26.0,42.0,20.0,30.0,42.0,22.0,32.0,38.0,36.0,34.0,26.0,26.0,44.0,40.0,48.0
10.0,10.0,12.0,18.0,24.0,34.0,32.0,34.0,22.0,36.0,26.0,32.0,52.0,36.0,46.0,38.0,38.0,46.0,26.0,42.0
16.0,14.0,18.0,14.0,30.0,18.0,34.0,28.0,24.0,34.0,24.0,28.0,38.0,48.0,34.0,38.0,30.0,36.0,40.0,46.0
6.0,16.0,22.0,16.0,20.0,26.0,26.0,28.0,36.0,40.0,30.0,26.0,32.0,46.0,40.0,16.0,46.0,42.0,32.0,38.0
10.0,10.0,18.0,24.0,20.0,26.0,32.0,28.0,48.0,56.0,34.0,32.0,36.0,34.0,26.0,34.0,38.0,36.0,44.0,20.0
10.0,10.0,8.0,16.0,26.0,36.0,16.0,36.0,48.0,44.0,44.0,48.0,40.0,44.0,52.0,40.0,46.0,42.0,34.0,46.0
12.0,8.0,20.0,20.0,20.0,24.0,30.0,24.0,20.0,38.0,44.0,52.0,40.0,36.0,42.0,38.0,36.0,42.0,26.0,40.0
8.0,20.0,12.0,14.0,16.0,30.0,30.0,44.0,34.0,24.0,30.0,40.0,38.0,24.0,46.0,50.0,44.0,40.0,22.0,36.0

Averages:
12.0,14.0,15.0,19.4,22.6,27.0,28.4,30.8,33.8,39.8,33.0,36.2,40.0,37.4,39.4,34.8,37.2,40.8,34.8,40.2
Standard deviations:
4.732863826479693,4.8166378315169185,4.219004621945797,7.48598690888516,7.323933369440222,5.385164807134504,7.200000000000001,6.523802572120037,9.56869897112455,8.919641248391104,8.729261137118078,7.972452571197898,5.932958789676531,6.755738301621815,7.213875518748574,8.541662601625049,6.584831053261731,4.019950248448356,7.756287771866126,7.6131465242697125



