Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1596910583.5853848,1596912036.216351,1596913646.752039,1596915120.1670332,1596916520.179734,1596917912.59899,1596919305.143052,1596920694.064092,1596922102.197331,1596923504.920226


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,10.0,12.0,8.0,6.0,2.0,12.0,10.0,12.0,10.0,12.0,14.0,6.0,16.0,6.0,8.0,12.0,10.0,6.0,18.0
10.0,14.0,6.0,10.0,12.0,8.0,10.0,16.0,6.0,14.0,8.0,10.0,10.0,12.0,12.0,8.0,14.0,8.0,8.0,6.0
14.0,8.0,8.0,8.0,12.0,8.0,10.0,6.0,18.0,12.0,14.0,18.0,10.0,10.0,8.0,4.0,16.0,8.0,12.0,2.0
14.0,6.0,12.0,18.0,4.0,6.0,14.0,8.0,14.0,10.0,4.0,12.0,18.0,10.0,10.0,10.0,6.0,24.0,4.0,2.0
4.0,8.0,6.0,12.0,4.0,6.0,0.0,10.0,16.0,8.0,12.0,10.0,6.0,10.0,6.0,8.0,6.0,4.0,16.0,6.0
2.0,10.0,8.0,18.0,8.0,8.0,8.0,6.0,4.0,8.0,4.0,10.0,10.0,8.0,8.0,8.0,10.0,8.0,14.0,14.0
6.0,8.0,8.0,10.0,8.0,14.0,10.0,4.0,10.0,10.0,8.0,12.0,4.0,6.0,16.0,16.0,16.0,12.0,18.0,10.0
18.0,14.0,2.0,10.0,10.0,14.0,2.0,8.0,12.0,14.0,12.0,16.0,0.0,12.0,14.0,4.0,10.0,10.0,12.0,10.0
8.0,8.0,16.0,6.0,10.0,6.0,12.0,22.0,12.0,12.0,8.0,8.0,6.0,4.0,10.0,8.0,14.0,4.0,6.0,12.0
16.0,10.0,10.0,10.0,10.0,14.0,12.0,14.0,8.0,10.0,12.0,8.0,10.0,14.0,12.0,16.0,6.0,6.0,18.0,10.0

Averages:
10.2,9.6,8.8,11.0,8.4,8.6,9.0,10.4,11.2,10.8,9.4,11.8,8.0,10.2,10.2,9.0,11.0,9.4,11.4,9.0
Standard deviations:
5.015974481593781,2.4979991993593593,3.7094473981982814,3.82099463490856,2.8000000000000003,3.903844259188627,4.312771730569565,5.2,4.1182520563948,2.0396078054371136,3.352610922848042,3.1559467676119,4.560701700396552,3.4,3.1559467676119,3.924283374069717,3.82099463490856,5.44426303552648,4.903060268852505,4.8373546489791295



