Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597454369.0818748,1597455746.036341,1597457131.603968,1597458515.086592,1597459897.497495,1597461286.848043,1597462689.1474838,1597464099.862176,1597465511.823997,1597466917.446673


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,8.0,6.0,14.0,10.0,10.0,10.0,10.0,10.0,14.0,10.0,4.0,4.0,8.0,16.0,18.0,10.0,10.0,14.0,10.0
10.0,6.0,14.0,10.0,12.0,12.0,10.0,12.0,16.0,8.0,16.0,10.0,10.0,8.0,10.0,10.0,0.0,20.0,4.0,12.0
12.0,4.0,6.0,8.0,10.0,10.0,14.0,12.0,8.0,8.0,14.0,10.0,8.0,14.0,8.0,10.0,6.0,8.0,8.0,4.0
12.0,2.0,8.0,8.0,10.0,4.0,22.0,6.0,16.0,16.0,12.0,8.0,6.0,6.0,12.0,8.0,8.0,4.0,14.0,10.0
10.0,4.0,14.0,10.0,10.0,12.0,4.0,10.0,6.0,10.0,14.0,16.0,6.0,10.0,10.0,14.0,8.0,4.0,6.0,8.0
10.0,10.0,14.0,6.0,8.0,16.0,16.0,12.0,4.0,14.0,14.0,16.0,12.0,14.0,14.0,6.0,12.0,12.0,6.0,8.0
14.0,10.0,16.0,12.0,6.0,2.0,10.0,12.0,12.0,10.0,10.0,10.0,6.0,10.0,12.0,6.0,14.0,6.0,10.0,14.0
10.0,10.0,6.0,14.0,10.0,4.0,10.0,6.0,16.0,6.0,8.0,12.0,14.0,4.0,12.0,14.0,8.0,4.0,18.0,2.0
6.0,14.0,14.0,16.0,14.0,12.0,10.0,8.0,14.0,6.0,14.0,4.0,8.0,6.0,6.0,16.0,12.0,4.0,6.0,10.0
14.0,14.0,8.0,10.0,14.0,6.0,8.0,12.0,8.0,18.0,8.0,10.0,10.0,6.0,8.0,12.0,10.0,16.0,14.0,10.0

Averages:
10.4,8.2,10.6,10.8,10.4,8.8,11.4,10.0,11.0,11.0,12.0,10.0,8.4,8.6,10.8,11.4,8.8,8.8,10.0,8.8
Standard deviations:
2.65329983228432,3.9446165846632044,3.903844259188627,2.993325909419153,2.33238075793812,4.308131845707603,4.651881339845203,2.3664319132398464,4.219004621945797,4.024922359499621,2.6832815729997477,3.8987177379235853,2.939387691339814,3.2310988842807027,2.85657137141714,3.903844259188627,3.7094473981982814,5.3814496188294845,4.47213595499958,3.370459909270543



