Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597608854.5081768,1597610472.5146172,1597611841.763513,1597613228.197218,1597614600.03389,1597615986.405426,1597617372.1467059,1597618753.711766,1597620144.97489,1597621535.222909


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,18.0,26.0,40.0,46.0,40.0,32.0,46.0,42.0,52.0,36.0,36.0,50.0,52.0,40.0,40.0,56.0,44.0,44.0,40.0
6.0,24.0,12.0,14.0,28.0,30.0,30.0,30.0,42.0,16.0,38.0,20.0,56.0,38.0,30.0,32.0,32.0,36.0,44.0,36.0
8.0,2.0,10.0,24.0,46.0,34.0,50.0,36.0,28.0,32.0,36.0,64.0,32.0,26.0,46.0,34.0,38.0,38.0,46.0,26.0
8.0,12.0,22.0,16.0,34.0,30.0,26.0,32.0,34.0,34.0,52.0,34.0,38.0,32.0,38.0,40.0,56.0,52.0,54.0,28.0
10.0,16.0,22.0,20.0,22.0,32.0,22.0,28.0,16.0,30.0,30.0,26.0,28.0,32.0,20.0,56.0,50.0,38.0,40.0,36.0
12.0,16.0,16.0,14.0,18.0,24.0,32.0,34.0,26.0,26.0,44.0,46.0,32.0,16.0,32.0,38.0,30.0,44.0,36.0,36.0
2.0,26.0,22.0,24.0,42.0,24.0,34.0,34.0,20.0,38.0,36.0,30.0,36.0,42.0,34.0,36.0,44.0,32.0,42.0,64.0
14.0,20.0,18.0,28.0,26.0,54.0,26.0,42.0,34.0,28.0,28.0,34.0,34.0,48.0,36.0,36.0,42.0,36.0,34.0,50.0
12.0,6.0,10.0,12.0,22.0,42.0,26.0,22.0,36.0,34.0,50.0,32.0,38.0,40.0,36.0,40.0,34.0,40.0,60.0,38.0
6.0,16.0,14.0,14.0,16.0,24.0,34.0,22.0,40.0,42.0,36.0,44.0,32.0,36.0,32.0,44.0,46.0,36.0,34.0,52.0

Averages:
9.0,15.6,17.2,20.6,30.0,33.4,31.2,32.6,31.8,33.2,38.6,36.6,37.6,36.2,34.4,39.6,42.8,39.6,43.4,40.6
Standard deviations:
3.492849839314596,7.031358332498779,5.3814496188294845,8.248636250920512,10.770329614269007,9.123595782365635,7.332121111929345,7.323933369440223,8.6,9.173875952943773,7.432361670424818,11.663618649458666,8.333066662399863,9.937806599043876,6.499230723708768,6.374950980203692,8.908422980528035,5.425863986500215,8.002499609497024,10.992724866929036



