Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597622929.929525,1597624308.8499908,1597625676.788555,1597627048.4825358,1597628408.262645,1597629787.700165,1597631188.806431,1597632599.1154351,1597634001.7192729,1597635392.287529


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,12.0,28.0,34.0,16.0,30.0,20.0,42.0,24.0,32.0,38.0,54.0,24.0,36.0,26.0,22.0,36.0,26.0,44.0,42.0
16.0,6.0,12.0,28.0,22.0,22.0,24.0,30.0,32.0,48.0,34.0,32.0,36.0,40.0,28.0,34.0,28.0,12.0,34.0,36.0
12.0,8.0,20.0,24.0,38.0,28.0,16.0,24.0,38.0,58.0,52.0,36.0,42.0,42.0,30.0,36.0,54.0,46.0,44.0,50.0
8.0,6.0,8.0,20.0,24.0,20.0,30.0,32.0,32.0,40.0,38.0,50.0,42.0,34.0,40.0,48.0,42.0,54.0,42.0,42.0
10.0,10.0,18.0,24.0,24.0,30.0,32.0,44.0,42.0,46.0,40.0,26.0,56.0,38.0,48.0,36.0,40.0,50.0,42.0,42.0
8.0,20.0,14.0,20.0,24.0,2.0,28.0,22.0,36.0,40.0,40.0,38.0,28.0,40.0,38.0,38.0,28.0,36.0,24.0,30.0
14.0,18.0,18.0,32.0,42.0,34.0,24.0,54.0,26.0,30.0,20.0,28.0,22.0,44.0,30.0,48.0,32.0,22.0,36.0,40.0
8.0,14.0,12.0,28.0,20.0,20.0,20.0,44.0,40.0,20.0,26.0,32.0,36.0,26.0,36.0,40.0,36.0,30.0,18.0,54.0
14.0,8.0,12.0,18.0,20.0,22.0,34.0,28.0,24.0,18.0,14.0,30.0,16.0,28.0,32.0,40.0,42.0,44.0,28.0,42.0
16.0,10.0,26.0,28.0,28.0,28.0,36.0,24.0,20.0,36.0,50.0,36.0,26.0,40.0,42.0,50.0,36.0,36.0,32.0,42.0

Averages:
11.4,11.2,16.8,25.6,25.8,23.6,26.4,34.4,31.4,36.8,35.2,36.2,32.8,36.8,35.0,39.2,37.4,35.6,34.4,42.0
Standard deviations:
3.2310988842807027,4.578209256903839,6.144916598294887,5.043808085167396,7.769169839822013,8.522910301065007,6.3118935352238,10.307278981380101,7.213875518748574,11.77115117564973,11.53082824431966,8.692525524840292,11.285388783732708,5.6,6.648308055437865,7.8587530817554,7.323933369440222,12.611106216347558,8.522910301065007,6.260990336999411



