Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597651941.4120698,1597653526.1150331,1597655024.469524,1597656644.035724,1597658109.7472599,1597659604.6603572,1597661087.615366,1597662503.808356,1597663920.3950698,1597665326.868704


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

20.0,16.0,24.0,20.0,22.0,22.0,36.0,40.0,44.0,24.0,38.0,36.0,32.0,40.0,52.0,40.0,50.0,50.0,38.0,64.0
20.0,6.0,16.0,28.0,28.0,34.0,30.0,36.0,38.0,60.0,56.0,40.0,34.0,40.0,34.0,30.0,32.0,38.0,40.0,56.0
8.0,12.0,32.0,22.0,26.0,26.0,40.0,48.0,40.0,38.0,40.0,48.0,32.0,48.0,40.0,40.0,44.0,48.0,46.0,46.0
10.0,14.0,16.0,18.0,38.0,26.0,34.0,42.0,30.0,44.0,42.0,52.0,52.0,44.0,42.0,28.0,44.0,52.0,32.0,52.0
16.0,16.0,18.0,16.0,32.0,28.0,26.0,24.0,24.0,36.0,44.0,36.0,44.0,54.0,28.0,44.0,38.0,30.0,34.0,46.0
6.0,18.0,18.0,24.0,28.0,24.0,30.0,36.0,38.0,36.0,38.0,30.0,46.0,50.0,50.0,50.0,62.0,28.0,52.0,48.0
10.0,10.0,18.0,4.0,26.0,20.0,26.0,32.0,40.0,38.0,28.0,36.0,52.0,42.0,42.0,22.0,48.0,44.0,50.0,38.0
10.0,16.0,8.0,30.0,18.0,32.0,20.0,48.0,38.0,36.0,38.0,46.0,36.0,44.0,46.0,38.0,40.0,26.0,38.0,38.0
12.0,6.0,20.0,22.0,10.0,12.0,30.0,26.0,30.0,36.0,34.0,26.0,40.0,30.0,54.0,48.0,42.0,42.0,42.0,50.0
8.0,20.0,18.0,18.0,24.0,36.0,28.0,48.0,32.0,48.0,28.0,34.0,38.0,24.0,44.0,46.0,42.0,52.0,38.0,42.0

Averages:
12.0,13.4,18.8,20.2,25.2,26.0,30.0,38.0,35.4,39.6,38.6,38.4,40.6,41.6,43.2,38.6,44.2,41.0,41.0,48.0
Standard deviations:
4.732863826479693,4.565084884205331,5.81033561853358,6.838128398911504,7.222188034107116,6.752777206453653,5.366563145999495,8.390470785361213,5.8,8.97997772825746,7.696752561957543,7.735631842325486,7.213875518748574,8.522910301065007,7.6,8.765842800324451,7.613146524269712,9.518403227432634,6.212889826803627,7.64198926981712



