Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,120.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597841883.8237922,1597843350.39095,1597844768.532127,1597846184.816334,1597847676.9964008,1597849239.464092,1597850832.158237,1597854723.4247522,1597856212.336044,1597857711.833668


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,10.0,16.0,12.0,20.0,30.0,34.0,26.0,20.0,32.0,32.0,24.0,38.0,50.0,36.0,40.0,46.0,38.0,36.0,36.0
10.0,10.0,12.0,18.0,16.0,26.0,32.0,26.0,24.0,12.0,34.0,32.0,12.0,54.0,38.0,36.0,48.0,40.0,36.0,46.0
8.0,12.0,18.0,32.0,16.0,18.0,30.0,26.0,36.0,32.0,32.0,30.0,34.0,40.0,40.0,52.0,36.0,40.0,44.0,44.0
8.0,12.0,16.0,12.0,26.0,28.0,28.0,26.0,30.0,32.0,32.0,36.0,46.0,44.0,38.0,54.0,50.0,34.0,44.0,30.0
12.0,8.0,24.0,40.0,34.0,28.0,36.0,52.0,38.0,38.0,42.0,36.0,34.0,38.0,36.0,32.0,48.0,38.0,34.0,54.0
8.0,22.0,32.0,10.0,20.0,26.0,22.0,46.0,42.0,32.0,32.0,38.0,26.0,54.0,32.0,40.0,42.0,54.0,46.0,42.0
8.0,16.0,20.0,38.0,20.0,34.0,28.0,34.0,34.0,40.0,40.0,38.0,38.0,50.0,28.0,26.0,32.0,28.0,26.0,44.0
10.0,14.0,14.0,34.0,30.0,42.0,32.0,34.0,24.0,46.0,34.0,24.0,48.0,42.0,50.0,62.0,42.0,34.0,44.0,54.0
14.0,14.0,10.0,10.0,18.0,22.0,36.0,34.0,34.0,40.0,32.0,28.0,46.0,22.0,38.0,50.0,22.0,48.0,38.0,36.0
8.0,12.0,14.0,14.0,12.0,12.0,16.0,22.0,22.0,22.0,26.0,12.0,42.0,28.0,30.0,46.0,38.0,38.0,40.0,34.0

Averages:
9.6,13.0,17.6,22.0,21.2,26.6,29.4,32.6,30.4,32.6,33.6,29.8,36.4,42.2,36.6,43.8,40.4,39.2,38.8,42.0
Standard deviations:
1.9595917942265426,3.714835124201342,6.118823416311342,11.7983049630021,6.462197768561405,7.851114570556208,6.003332407921453,9.210863151735564,7.144228439796701,9.254188241007421,4.2708313008125245,7.769169839822013,10.34601372510205,10.17644338656684,5.8,10.447966309287182,8.2365041127896,6.9397406291589885,5.81033561853358,7.694153624668538



