Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598955976.865658,1598957567.604755,1598959133.3815758,1598960717.3213959,1598962305.659036,1598963916.5275378,1598965587.8206432,1598967301.390343,1598969063.308372,1598970759.812478


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,8.0,4.0,14.0,10.0,14.0,20.0,8.0,4.0,12.0,14.0,12.0,8.0,6.0,4.0,22.0,10.0,8.0,6.0,10.0
14.0,12.0,14.0,12.0,8.0,8.0,8.0,10.0,4.0,6.0,10.0,10.0,4.0,12.0,16.0,8.0,12.0,18.0,6.0,12.0
10.0,4.0,12.0,2.0,14.0,10.0,12.0,6.0,16.0,10.0,18.0,6.0,10.0,12.0,8.0,16.0,4.0,14.0,6.0,12.0
8.0,8.0,6.0,10.0,20.0,10.0,8.0,12.0,14.0,12.0,6.0,4.0,8.0,6.0,10.0,20.0,6.0,12.0,8.0,12.0
12.0,10.0,8.0,12.0,18.0,10.0,14.0,12.0,18.0,12.0,18.0,6.0,16.0,10.0,4.0,6.0,18.0,4.0,18.0,2.0
6.0,16.0,12.0,8.0,8.0,16.0,12.0,4.0,4.0,0.0,8.0,18.0,12.0,4.0,8.0,10.0,8.0,12.0,14.0,18.0
10.0,8.0,14.0,10.0,2.0,16.0,10.0,10.0,8.0,4.0,4.0,12.0,14.0,10.0,8.0,12.0,20.0,10.0,10.0,10.0
8.0,12.0,8.0,16.0,8.0,14.0,12.0,12.0,6.0,14.0,8.0,12.0,16.0,14.0,14.0,4.0,4.0,12.0,12.0,8.0
4.0,10.0,10.0,16.0,22.0,12.0,12.0,8.0,10.0,4.0,14.0,12.0,10.0,6.0,12.0,14.0,6.0,12.0,20.0,6.0
8.0,8.0,12.0,6.0,8.0,12.0,10.0,12.0,6.0,14.0,6.0,12.0,6.0,8.0,4.0,8.0,6.0,8.0,8.0,12.0

Averages:
8.8,9.6,10.0,10.6,11.8,12.2,11.8,9.4,9.0,8.8,10.6,10.4,10.4,8.8,8.8,12.0,9.4,11.0,10.8,10.2
Standard deviations:
2.7129319932501073,3.0724582991474434,3.22490309931942,4.2,6.095900261651268,2.6000000000000005,3.2802438933713463,2.6907248094147422,5.0,4.66476151587624,4.8207883172775805,3.8781438859330635,3.8781438859330635,3.1240998703626617,4.019950248448357,5.656854249492381,5.370288632839022,3.605551275463989,4.833218389437829,4.044749683231337



