Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,80,1.0,170.0,50,True,False,1,False

Seeds:,1598955976.865658,1598957567.604755,1598959133.3815758,1598960717.3213959,1598962305.659036,1598963916.5275378,1598965587.8206432,1598967301.390343,1598969063.308372,1598970759.812478


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

8.0,6.0,10.0,4.0,8.0,6.0,6.0,14.0,4.0,8.0,6.0,2.0,16.0,8.0,4.0,12.0,12.0,10.0,4.0,16.0
14.0,4.0,2.0,14.0,10.0,12.0,10.0,6.0,6.0,6.0,8.0,8.0,10.0,16.0,4.0,10.0,4.0,6.0,14.0,6.0
10.0,12.0,4.0,2.0,6.0,4.0,12.0,14.0,16.0,16.0,4.0,6.0,10.0,6.0,10.0,8.0,8.0,14.0,16.0,14.0
8.0,12.0,14.0,14.0,14.0,16.0,8.0,16.0,8.0,12.0,16.0,4.0,8.0,10.0,12.0,10.0,6.0,20.0,6.0,26.0
12.0,4.0,14.0,4.0,6.0,4.0,12.0,14.0,8.0,12.0,12.0,14.0,8.0,16.0,6.0,16.0,10.0,12.0,8.0,8.0
6.0,12.0,10.0,6.0,12.0,14.0,8.0,14.0,10.0,16.0,6.0,6.0,10.0,10.0,12.0,6.0,10.0,6.0,6.0,14.0
10.0,6.0,8.0,12.0,6.0,4.0,12.0,6.0,10.0,12.0,12.0,6.0,6.0,6.0,8.0,6.0,14.0,8.0,8.0,12.0
8.0,18.0,12.0,6.0,14.0,6.0,8.0,8.0,12.0,6.0,4.0,10.0,8.0,8.0,14.0,12.0,8.0,8.0,18.0,18.0
4.0,12.0,8.0,12.0,10.0,8.0,18.0,6.0,12.0,8.0,10.0,4.0,10.0,10.0,8.0,8.0,8.0,4.0,12.0,8.0
8.0,4.0,12.0,12.0,10.0,12.0,12.0,20.0,10.0,8.0,16.0,16.0,8.0,18.0,18.0,14.0,4.0,12.0,6.0,6.0

Averages:
8.8,9.0,9.4,8.6,9.6,8.6,10.6,11.8,9.6,10.4,9.4,7.6,9.4,10.8,9.6,10.2,8.4,10.0,9.8,12.8
Standard deviations:
2.7129319932501073,4.58257569495584,3.8,4.386342439892261,2.9393876913398134,4.294182110716778,3.2310988842807027,4.686149805543993,3.2,3.5552777669262356,4.294182110716778,4.2708313008125245,2.5377155080899043,4.1182520563948,4.2708313008125245,3.1559467676119,3.0724582991474434,4.47213595499958,4.6,5.946427498927402



