Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1597352588.665343,1597354019.765756,1597355413.330558,1597356809.731219,1597358198.129313,1597359585.190665,1597360962.948307,1597362357.1831748,1597363760.121634,1597365158.777219


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,24.0,18.0,20.0,24.0,26.0,26.0,26.0,28.0,38.0,26.0,28.0,10.0,24.0,28.0,24.0,36.0,42.0,28.0,36.0
2.0,6.0,16.0,26.0,16.0,22.0,26.0,32.0,32.0,22.0,44.0,34.0,40.0,30.0,28.0,30.0,34.0,36.0,28.0,36.0
8.0,16.0,20.0,26.0,26.0,18.0,16.0,16.0,22.0,28.0,32.0,38.0,24.0,36.0,48.0,24.0,32.0,16.0,36.0,30.0
16.0,18.0,22.0,20.0,36.0,44.0,28.0,34.0,32.0,28.0,22.0,28.0,22.0,30.0,38.0,30.0,34.0,34.0,44.0,26.0
10.0,4.0,22.0,28.0,24.0,20.0,24.0,26.0,42.0,30.0,30.0,32.0,32.0,24.0,24.0,42.0,38.0,32.0,34.0,36.0
6.0,6.0,10.0,24.0,14.0,10.0,14.0,14.0,22.0,8.0,20.0,16.0,18.0,22.0,18.0,26.0,24.0,24.0,20.0,18.0
8.0,8.0,14.0,12.0,18.0,20.0,12.0,20.0,36.0,32.0,34.0,28.0,28.0,28.0,26.0,20.0,30.0,32.0,34.0,30.0
8.0,20.0,20.0,30.0,6.0,18.0,22.0,18.0,40.0,24.0,24.0,30.0,28.0,32.0,34.0,16.0,30.0,30.0,28.0,38.0
8.0,14.0,14.0,8.0,8.0,22.0,18.0,18.0,24.0,20.0,28.0,24.0,20.0,24.0,30.0,34.0,24.0,42.0,42.0,32.0
12.0,12.0,24.0,12.0,16.0,14.0,8.0,16.0,22.0,22.0,26.0,38.0,26.0,16.0,38.0,32.0,42.0,32.0,22.0,28.0

Averages:
8.8,12.8,18.0,20.6,18.8,21.4,19.4,22.0,30.0,25.2,28.6,29.6,24.8,26.6,31.2,27.8,32.4,32.0,31.6,31.0
Standard deviations:
3.4871191548325386,6.4,4.1952353926806065,7.213875518748574,8.49470423263812,8.627861844049196,6.452906321960671,6.6932802122726045,7.211102550927978,7.70454411370329,6.575712889109439,6.248199740725323,7.756287771866127,5.44426303552648,8.109253973085318,7.068238818828917,5.4258639865002145,7.37563556583431,7.472616676907762,5.744562646538029



