Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1597352588.665343,1597354019.765756,1597355413.330558,1597356809.731219,1597358198.129313,1597359585.190665,1597360962.948307,1597362357.1831748,1597363760.121634,1597365158.777219


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,8.0,8.0,8.0,6.0,6.0,14.0,8.0,10.0,14.0,4.0,12.0,12.0,10.0,10.0,8.0,20.0,10.0,10.0,10.0
2.0,16.0,12.0,8.0,10.0,8.0,22.0,16.0,14.0,2.0,16.0,4.0,20.0,12.0,12.0,10.0,8.0,4.0,4.0,8.0
8.0,6.0,12.0,14.0,16.0,16.0,24.0,6.0,8.0,8.0,2.0,14.0,10.0,2.0,14.0,8.0,12.0,14.0,20.0,2.0
16.0,10.0,4.0,12.0,14.0,14.0,12.0,6.0,12.0,8.0,4.0,8.0,12.0,6.0,10.0,8.0,16.0,8.0,14.0,4.0
10.0,6.0,6.0,18.0,8.0,10.0,10.0,2.0,14.0,14.0,4.0,14.0,14.0,12.0,4.0,16.0,12.0,10.0,12.0,6.0
6.0,10.0,14.0,6.0,12.0,16.0,4.0,12.0,12.0,10.0,12.0,18.0,6.0,6.0,12.0,12.0,8.0,8.0,2.0,8.0
8.0,8.0,12.0,10.0,8.0,18.0,8.0,10.0,18.0,6.0,6.0,2.0,0.0,12.0,10.0,6.0,12.0,18.0,16.0,6.0
8.0,14.0,18.0,12.0,12.0,4.0,8.0,14.0,8.0,12.0,14.0,6.0,10.0,12.0,20.0,14.0,14.0,10.0,22.0,8.0
8.0,8.0,4.0,16.0,12.0,18.0,6.0,12.0,12.0,18.0,12.0,8.0,4.0,6.0,12.0,12.0,8.0,12.0,8.0,6.0
12.0,6.0,8.0,6.0,16.0,4.0,8.0,10.0,2.0,10.0,10.0,4.0,6.0,6.0,8.0,10.0,8.0,12.0,16.0,12.0

Averages:
8.8,9.2,9.8,11.0,11.4,11.4,11.6,9.6,11.0,10.2,8.4,9.0,9.4,8.4,11.2,10.4,11.8,10.6,12.4,7.0
Standard deviations:
3.4871191548325386,3.249615361854384,4.331281565541543,3.924283374069717,3.2310988842807022,5.370288632839021,6.3118935352238,3.9799497484264794,4.123105625617661,4.331281565541543,4.715930449020639,5.0,5.370288632839022,3.4409301068170506,3.9191835884530852,2.9393876913398134,3.84187454245971,3.5832945734337835,6.1838499334961226,2.7202941017470885



