Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598012613.745953,1598014160.0429912,1598015617.4091132,1598017091.038626,1598018568.074684,1598020038.8747241,1598021504.362224,1598022975.2313228,1598024435.794571,1598025891.724749


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,8.0,12.0,14.0,10.0,10.0,10.0,14.0,16.0,6.0,4.0,6.0,6.0,10.0,16.0,12.0,12.0,6.0,4.0,8.0
8.0,18.0,8.0,6.0,12.0,8.0,10.0,6.0,2.0,16.0,14.0,8.0,10.0,6.0,10.0,20.0,6.0,12.0,10.0,12.0
8.0,6.0,12.0,10.0,4.0,8.0,10.0,12.0,4.0,10.0,12.0,10.0,14.0,10.0,8.0,4.0,12.0,8.0,2.0,4.0
16.0,14.0,14.0,10.0,10.0,6.0,12.0,2.0,18.0,14.0,14.0,16.0,14.0,8.0,8.0,10.0,8.0,10.0,16.0,10.0
10.0,8.0,10.0,10.0,12.0,18.0,8.0,10.0,2.0,8.0,6.0,12.0,4.0,12.0,8.0,12.0,12.0,8.0,6.0,6.0
10.0,8.0,8.0,8.0,6.0,14.0,18.0,6.0,4.0,10.0,10.0,6.0,16.0,10.0,10.0,16.0,8.0,6.0,10.0,6.0
10.0,8.0,14.0,6.0,10.0,8.0,10.0,14.0,10.0,6.0,14.0,6.0,10.0,6.0,6.0,6.0,4.0,12.0,10.0,8.0
14.0,8.0,20.0,12.0,12.0,6.0,6.0,0.0,10.0,8.0,4.0,10.0,20.0,12.0,16.0,4.0,4.0,18.0,12.0,12.0
10.0,4.0,14.0,12.0,18.0,4.0,20.0,10.0,12.0,8.0,4.0,6.0,8.0,12.0,6.0,6.0,10.0,4.0,8.0,14.0
4.0,4.0,10.0,14.0,14.0,12.0,8.0,14.0,6.0,10.0,6.0,12.0,16.0,12.0,12.0,14.0,10.0,6.0,10.0,4.0

Averages:
10.0,8.6,12.2,10.2,10.8,9.4,11.2,8.8,8.4,9.6,8.8,9.2,11.8,9.8,10.0,10.4,8.6,9.0,8.8,8.4
Standard deviations:
3.0983866769659336,4.1036569057366385,3.4,2.749545416973504,3.7094473981982814,4.004996878900157,4.214261501141095,4.833218389437829,5.4258639865002145,3.0724582991474434,4.214261501141095,3.249615361854384,4.770744176750625,2.2715633383201093,3.4641016151377544,5.122499389946279,2.973213749463701,3.924283374069717,3.8157568056677826,3.32264954516723



