Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,4.0,8.0,8.0,12.0,16.0,14.0,14.0,10.0,4.0,8.0,16.0,8.0,10.0,8.0,22.0,4.0,6.0,6.0,12.0
6.0,6.0,14.0,14.0,10.0,12.0,4.0,12.0,14.0,14.0,12.0,8.0,18.0,12.0,10.0,10.0,2.0,6.0,10.0,8.0
12.0,12.0,12.0,8.0,12.0,18.0,10.0,6.0,6.0,8.0,12.0,6.0,6.0,6.0,4.0,8.0,20.0,8.0,18.0,4.0
6.0,10.0,8.0,4.0,6.0,8.0,6.0,10.0,4.0,6.0,12.0,12.0,8.0,20.0,12.0,12.0,10.0,10.0,10.0,4.0
6.0,2.0,6.0,6.0,14.0,8.0,8.0,14.0,10.0,14.0,4.0,10.0,16.0,16.0,12.0,2.0,8.0,8.0,6.0,8.0
10.0,14.0,6.0,18.0,4.0,8.0,12.0,6.0,10.0,8.0,12.0,6.0,12.0,6.0,8.0,8.0,2.0,8.0,10.0,12.0
4.0,10.0,4.0,6.0,8.0,6.0,10.0,8.0,8.0,14.0,14.0,10.0,16.0,12.0,14.0,14.0,12.0,4.0,8.0,8.0
4.0,6.0,12.0,6.0,8.0,20.0,10.0,10.0,12.0,4.0,12.0,10.0,12.0,14.0,6.0,8.0,10.0,6.0,12.0,14.0
10.0,10.0,10.0,14.0,10.0,12.0,14.0,6.0,16.0,10.0,8.0,20.0,18.0,16.0,14.0,10.0,12.0,12.0,8.0,6.0
12.0,10.0,6.0,22.0,8.0,16.0,14.0,12.0,6.0,4.0,16.0,6.0,14.0,8.0,16.0,14.0,4.0,8.0,12.0,20.0

Averages:
7.6,8.4,8.6,10.6,9.2,12.4,10.2,9.8,9.6,8.6,11.0,10.4,12.8,12.0,10.4,10.8,8.4,7.6,10.0,9.6
Standard deviations:
2.9393876913398134,3.5552777669262356,3.104834939252005,5.730619512757761,2.85657137141714,4.63033476111609,3.2802438933713454,3.0265491900843116,3.5552777669262356,4.004996878900157,3.255764119219941,4.363484845854286,4.1182520563948,4.381780460041329,3.6660605559646724,4.995998398718719,5.351635264103861,2.1540659228538015,3.3466401061363023,4.715930449020639



