Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598056078.580425,1598057443.987913,1598058810.260129,1598060198.960937,1598061577.2636611,1598062965.9798899,1598064351.448129,1598065741.880252,1598067132.4809039,1598068533.2173061


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

6.0,12.0,8.0,18.0,28.0,10.0,42.0,34.0,24.0,30.0,26.0,32.0,24.0,38.0,26.0,44.0,26.0,28.0,38.0,36.0
20.0,20.0,16.0,14.0,14.0,18.0,18.0,18.0,14.0,24.0,22.0,30.0,38.0,44.0,34.0,22.0,36.0,26.0,28.0,36.0
8.0,14.0,14.0,28.0,18.0,16.0,32.0,24.0,28.0,24.0,42.0,22.0,18.0,28.0,14.0,36.0,20.0,26.0,22.0,20.0
16.0,16.0,20.0,24.0,14.0,18.0,16.0,28.0,24.0,34.0,28.0,34.0,32.0,44.0,22.0,30.0,36.0,36.0,28.0,34.0
12.0,10.0,28.0,22.0,22.0,18.0,28.0,24.0,28.0,28.0,36.0,34.0,42.0,28.0,42.0,34.0,40.0,32.0,28.0,32.0
8.0,18.0,20.0,28.0,36.0,32.0,22.0,32.0,32.0,38.0,36.0,20.0,44.0,22.0,34.0,20.0,30.0,34.0,32.0,28.0
6.0,20.0,6.0,14.0,12.0,14.0,30.0,34.0,20.0,20.0,24.0,16.0,22.0,24.0,22.0,26.0,30.0,32.0,28.0,20.0
12.0,18.0,8.0,22.0,20.0,28.0,16.0,24.0,28.0,12.0,30.0,28.0,30.0,28.0,20.0,20.0,36.0,24.0,22.0,28.0
10.0,8.0,16.0,28.0,20.0,44.0,36.0,24.0,44.0,46.0,32.0,50.0,28.0,30.0,36.0,26.0,32.0,24.0,32.0,32.0
12.0,16.0,14.0,20.0,20.0,28.0,30.0,20.0,16.0,18.0,46.0,36.0,30.0,26.0,28.0,36.0,28.0,30.0,50.0,28.0

Averages:
11.0,15.2,15.0,21.8,20.4,22.6,27.0,26.2,25.8,27.4,32.2,30.2,30.8,31.2,27.8,29.4,31.4,29.2,30.8,29.4
Standard deviations:
4.219004621945797,3.919183588453085,6.340346993658944,5.095095681142799,6.8,9.718024490605073,8.35463942968217,5.325410782277739,8.121576201698781,9.551963149007642,7.400000000000001,9.14111590562115,8.059776671843954,7.547184905645284,8.1706792863262,7.592101158440923,5.589275444992849,4.019950248448357,7.807688518377254,5.517245689653488



