Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,14.0,10.0,18.0,18.0,34.0,26.0,28.0,34.0,22.0,22.0,34.0,16.0,34.0,14.0,16.0,24.0,20.0,16.0,20.0
6.0,12.0,12.0,16.0,18.0,6.0,14.0,20.0,12.0,18.0,30.0,26.0,26.0,32.0,32.0,26.0,24.0,32.0,22.0,34.0
14.0,12.0,14.0,24.0,14.0,22.0,22.0,8.0,12.0,12.0,18.0,10.0,32.0,20.0,8.0,26.0,34.0,24.0,24.0,34.0
18.0,10.0,18.0,22.0,22.0,28.0,32.0,14.0,26.0,34.0,22.0,24.0,26.0,24.0,24.0,32.0,30.0,26.0,38.0,22.0
10.0,14.0,16.0,12.0,26.0,22.0,22.0,22.0,22.0,32.0,8.0,18.0,18.0,28.0,30.0,30.0,20.0,32.0,32.0,46.0
4.0,12.0,12.0,18.0,20.0,18.0,24.0,30.0,30.0,18.0,20.0,24.0,16.0,34.0,28.0,22.0,30.0,40.0,30.0,28.0
8.0,18.0,16.0,32.0,36.0,10.0,18.0,24.0,22.0,22.0,20.0,26.0,20.0,24.0,24.0,16.0,34.0,24.0,26.0,16.0
14.0,14.0,10.0,12.0,16.0,26.0,26.0,26.0,34.0,32.0,34.0,32.0,26.0,36.0,28.0,28.0,20.0,24.0,38.0,26.0
4.0,18.0,24.0,16.0,16.0,18.0,12.0,18.0,16.0,28.0,24.0,28.0,18.0,30.0,18.0,24.0,26.0,12.0,20.0,32.0
6.0,6.0,18.0,12.0,14.0,28.0,32.0,16.0,14.0,18.0,26.0,14.0,14.0,20.0,20.0,32.0,26.0,24.0,16.0,26.0

Averages:
9.8,13.0,15.0,18.2,20.0,21.2,22.8,20.6,22.2,23.6,22.4,23.6,21.2,28.2,22.6,25.2,26.8,25.8,26.2,28.4
Standard deviations:
4.686149805543993,3.3763886032268267,4.123105625617661,6.029925372672534,6.387487769068525,8.109253973085316,6.4,6.452906321960671,8.1706792863262,7.08801805866774,6.681317235396026,7.200000000000001,5.6000000000000005,5.617828762075256,7.213875518748573,5.528109984434102,4.833218389437829,7.180529228406497,7.717512552629895,8.138795979750322



