Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

14.0,8.0,30.0,28.0,24.0,16.0,32.0,28.0,32.0,32.0,38.0,26.0,20.0,16.0,36.0,46.0,26.0,22.0,28.0,32.0
6.0,12.0,12.0,8.0,18.0,24.0,8.0,20.0,14.0,24.0,22.0,28.0,12.0,20.0,18.0,26.0,16.0,30.0,30.0,30.0
14.0,8.0,4.0,22.0,20.0,16.0,20.0,24.0,20.0,22.0,22.0,22.0,30.0,22.0,22.0,28.0,24.0,14.0,36.0,28.0
18.0,12.0,12.0,28.0,46.0,24.0,32.0,18.0,12.0,26.0,32.0,26.0,24.0,28.0,22.0,28.0,42.0,38.0,46.0,26.0
10.0,18.0,18.0,12.0,20.0,14.0,22.0,26.0,24.0,30.0,20.0,28.0,24.0,26.0,26.0,22.0,28.0,32.0,38.0,30.0
4.0,12.0,12.0,10.0,32.0,18.0,18.0,24.0,16.0,28.0,22.0,32.0,24.0,20.0,14.0,22.0,28.0,18.0,18.0,22.0
8.0,14.0,10.0,10.0,28.0,10.0,26.0,22.0,16.0,20.0,26.0,34.0,24.0,42.0,34.0,36.0,24.0,22.0,24.0,20.0
14.0,16.0,10.0,22.0,14.0,18.0,22.0,30.0,28.0,28.0,28.0,12.0,28.0,28.0,20.0,20.0,22.0,20.0,16.0,30.0
4.0,22.0,26.0,20.0,22.0,24.0,22.0,18.0,22.0,34.0,22.0,30.0,8.0,20.0,22.0,28.0,16.0,34.0,24.0,18.0
6.0,8.0,12.0,24.0,18.0,18.0,12.0,12.0,20.0,22.0,18.0,20.0,18.0,26.0,16.0,26.0,26.0,30.0,18.0,30.0

Averages:
9.8,13.0,14.6,18.4,24.2,18.2,21.4,22.2,20.4,26.6,25.0,25.8,21.2,24.8,23.0,28.2,25.2,26.0,27.8,26.6
Standard deviations:
4.686149805543993,4.404543109109048,7.4859869088851605,7.310266752998827,8.784076502399099,4.422668877499196,7.2691127381545,5.095095681142799,5.986651818838307,4.386342439892262,5.813776741499453,6.095900261651268,6.523802572120037,6.881860213634101,6.826419266350405,7.291090453423274,6.939740629158989,7.429670248402684,9.314504817756015,4.651881339845203



