Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,10.0,20.0,8.0,12.0,8.0,6.0,8.0,8.0,4.0,12.0,14.0,18.0,8.0,4.0,4.0,8.0,12.0,8.0,10.0
10.0,6.0,8.0,8.0,14.0,8.0,6.0,12.0,8.0,12.0,20.0,10.0,4.0,12.0,8.0,10.0,8.0,14.0,14.0,10.0
10.0,12.0,10.0,4.0,12.0,8.0,10.0,14.0,8.0,8.0,2.0,10.0,8.0,8.0,16.0,10.0,16.0,18.0,6.0,6.0
14.0,16.0,8.0,8.0,10.0,10.0,4.0,16.0,8.0,10.0,2.0,4.0,8.0,6.0,16.0,12.0,12.0,10.0,12.0,14.0
20.0,6.0,10.0,10.0,14.0,10.0,12.0,10.0,12.0,14.0,10.0,12.0,14.0,10.0,6.0,10.0,4.0,2.0,14.0,2.0
8.0,6.0,14.0,4.0,12.0,12.0,10.0,14.0,4.0,6.0,6.0,8.0,12.0,6.0,20.0,10.0,10.0,8.0,16.0,10.0
8.0,14.0,6.0,12.0,14.0,4.0,8.0,10.0,18.0,12.0,14.0,8.0,12.0,10.0,4.0,10.0,10.0,18.0,6.0,10.0
14.0,12.0,12.0,12.0,16.0,12.0,12.0,14.0,8.0,14.0,14.0,6.0,6.0,8.0,12.0,16.0,10.0,20.0,6.0,8.0
10.0,8.0,8.0,4.0,10.0,2.0,14.0,8.0,8.0,12.0,16.0,10.0,2.0,8.0,6.0,8.0,8.0,12.0,10.0,10.0
12.0,12.0,10.0,10.0,8.0,8.0,6.0,10.0,10.0,12.0,2.0,12.0,8.0,6.0,8.0,16.0,10.0,6.0,8.0,24.0

Averages:
11.0,10.2,10.6,8.0,12.2,8.2,8.8,11.6,9.2,10.4,9.8,9.4,9.2,8.2,10.0,10.6,9.6,12.0,10.0,10.4
Standard deviations:
4.123105625617661,3.4,3.8000000000000003,2.9664793948382653,2.2715633383201093,3.026549190084311,3.1240998703626617,2.65329983228432,3.4871191548325386,3.2,6.161168720299745,2.8354893757515653,4.578209256903839,1.8867962264113207,5.366563145999495,3.352610922848042,2.9393876913398134,5.440588203494177,3.5777087639996634,5.4258639865002145



