Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1600129324.370162,1600130421.411825,1600131521.410951,1600132624.8876941,1600133720.5676641,1600134825.8331609,1600135939.073567,1600137052.470999,1600138164.811361,1600139271.9541912


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,6.0,12.0,14.0,10.0,22.0,22.0,22.0,22.0,24.0,30.0,30.0,30.0,24.0,28.0,30.0,28.0,20.0,36.0,24.0
4.0,14.0,20.0,22.0,20.0,10.0,16.0,16.0,22.0,24.0,18.0,18.0,24.0,14.0,16.0,18.0,46.0,34.0,38.0,48.0
6.0,10.0,14.0,16.0,16.0,12.0,18.0,22.0,26.0,28.0,26.0,32.0,18.0,30.0,28.0,32.0,28.0,40.0,24.0,34.0
6.0,16.0,20.0,14.0,18.0,10.0,14.0,12.0,24.0,14.0,24.0,28.0,20.0,46.0,36.0,36.0,36.0,44.0,28.0,30.0
6.0,6.0,12.0,26.0,16.0,20.0,30.0,24.0,24.0,30.0,36.0,40.0,32.0,38.0,46.0,32.0,44.0,40.0,36.0,28.0
14.0,6.0,18.0,10.0,10.0,18.0,14.0,20.0,28.0,20.0,32.0,20.0,24.0,20.0,18.0,38.0,32.0,28.0,18.0,38.0
12.0,10.0,20.0,18.0,10.0,6.0,22.0,18.0,16.0,24.0,32.0,36.0,38.0,34.0,20.0,32.0,26.0,30.0,30.0,30.0
10.0,22.0,16.0,18.0,30.0,22.0,34.0,22.0,32.0,28.0,30.0,20.0,38.0,20.0,30.0,42.0,44.0,50.0,46.0,48.0
6.0,22.0,10.0,8.0,22.0,16.0,20.0,14.0,32.0,28.0,30.0,44.0,24.0,26.0,40.0,26.0,36.0,24.0,20.0,24.0
14.0,12.0,20.0,10.0,18.0,14.0,28.0,26.0,20.0,32.0,18.0,10.0,16.0,20.0,24.0,30.0,32.0,26.0,20.0,6.0

Averages:
9.0,12.4,16.2,15.6,17.0,15.0,21.8,19.6,24.6,25.2,27.6,27.8,26.4,27.2,28.6,31.6,35.2,33.6,29.6,31.0
Standard deviations:
3.605551275463989,5.782732917920384,3.7363083384538807,5.3516352641038605,5.9497899122574065,5.2345009313209605,6.539113089708726,4.2708313008125245,4.8207883172775805,4.995998398718719,5.71314274283428,10.17644338656684,7.418894796396563,9.303762679690406,9.25418824100742,6.248199740725323,6.9397406291589885,9.156418513807678,8.8,11.704699910719626



