Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598645220.589587,1598645848.7611039,1598646469.7085881,1598647086.3378098,1598647704.9590569,1598648327.547636,1598648943.587347,1598649560.497067,1598650188.387187,1598650804.4281971


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,10.0,16.0,18.0,20.0,22.0,20.0,16.0,22.0,14.0,20.0,20.0,20.0,26.0,36.0,36.0,44.0,38.0,50.0,54.0
10.0,12.0,12.0,8.0,14.0,26.0,24.0,18.0,26.0,24.0,16.0,22.0,14.0,14.0,38.0,40.0,38.0,44.0,38.0,46.0
14.0,12.0,4.0,12.0,16.0,14.0,22.0,14.0,14.0,30.0,36.0,38.0,34.0,22.0,32.0,24.0,40.0,42.0,44.0,40.0
12.0,16.0,20.0,16.0,30.0,18.0,16.0,20.0,26.0,12.0,26.0,36.0,34.0,34.0,32.0,34.0,30.0,42.0,44.0,36.0
14.0,2.0,16.0,12.0,20.0,16.0,14.0,18.0,20.0,12.0,20.0,32.0,20.0,18.0,36.0,42.0,42.0,28.0,40.0,28.0
6.0,18.0,4.0,20.0,14.0,28.0,20.0,28.0,28.0,26.0,28.0,34.0,42.0,30.0,36.0,36.0,34.0,36.0,40.0,40.0
4.0,8.0,16.0,22.0,10.0,22.0,12.0,14.0,24.0,22.0,22.0,32.0,20.0,20.0,28.0,30.0,30.0,38.0,34.0,32.0
2.0,6.0,12.0,22.0,16.0,20.0,14.0,18.0,26.0,22.0,22.0,24.0,34.0,16.0,38.0,30.0,38.0,44.0,40.0,34.0
8.0,14.0,4.0,18.0,28.0,12.0,28.0,20.0,16.0,26.0,26.0,30.0,38.0,36.0,32.0,30.0,42.0,36.0,32.0,42.0
12.0,10.0,16.0,16.0,14.0,14.0,22.0,24.0,30.0,36.0,42.0,30.0,32.0,52.0,42.0,38.0,44.0,38.0,18.0,38.0

Averages:
9.4,10.8,12.0,16.4,18.2,19.2,19.2,19.0,23.2,22.4,25.8,29.8,28.8,26.8,35.0,34.0,38.2,38.6,38.0,39.0
Standard deviations:
4.004996878900157,4.48998886412873,5.656854249492381,4.363484845854286,6.095900261651268,5.075431016179809,4.833218389437829,4.123105625617661,4.915282290977803,7.472616676907762,7.507329751649384,5.688585061331157,8.953211714239757,10.998181667894016,3.82099463490856,5.215361924162119,5.015974481593781,4.565084884205332,8.246211251235321,7.0



