Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598645220.589587,1598645848.7611039,1598646469.7085881,1598647086.3378098,1598647704.9590569,1598648327.547636,1598648943.587347,1598649560.497067,1598650188.387187,1598650804.4281971


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,6.0,10.0,6.0,14.0,16.0,10.0,16.0,8.0,6.0,14.0,8.0,4.0,4.0,12.0,8.0,10.0,2.0,12.0,2.0
10.0,12.0,6.0,8.0,8.0,8.0,8.0,10.0,4.0,18.0,12.0,10.0,10.0,14.0,8.0,6.0,4.0,8.0,8.0,12.0
14.0,10.0,4.0,10.0,8.0,16.0,6.0,16.0,16.0,6.0,8.0,8.0,14.0,12.0,10.0,10.0,10.0,12.0,12.0,14.0
12.0,4.0,10.0,12.0,10.0,16.0,8.0,12.0,2.0,14.0,8.0,10.0,2.0,6.0,10.0,10.0,2.0,14.0,10.0,14.0
14.0,4.0,6.0,10.0,16.0,10.0,6.0,6.0,4.0,8.0,18.0,4.0,6.0,12.0,10.0,6.0,6.0,4.0,14.0,14.0
6.0,6.0,6.0,16.0,0.0,4.0,12.0,4.0,14.0,10.0,10.0,14.0,12.0,4.0,4.0,16.0,12.0,2.0,18.0,8.0
4.0,20.0,8.0,8.0,16.0,10.0,10.0,10.0,6.0,12.0,12.0,14.0,14.0,4.0,2.0,16.0,6.0,6.0,8.0,2.0
2.0,6.0,16.0,14.0,6.0,6.0,8.0,6.0,10.0,14.0,14.0,16.0,8.0,10.0,16.0,10.0,6.0,4.0,8.0,6.0
8.0,8.0,22.0,6.0,12.0,6.0,10.0,14.0,6.0,14.0,12.0,10.0,12.0,12.0,8.0,12.0,6.0,16.0,6.0,8.0
12.0,6.0,8.0,8.0,14.0,10.0,14.0,6.0,8.0,6.0,18.0,14.0,8.0,18.0,10.0,12.0,8.0,18.0,12.0,16.0

Averages:
9.4,8.2,9.6,9.8,10.4,10.2,9.2,10.0,7.8,10.8,12.6,10.8,9.0,9.6,9.0,10.6,7.0,8.6,10.8,9.6
Standard deviations:
4.004996878900157,4.6,5.2,3.1559467676119,4.800000000000001,4.237924020083418,2.4,4.1952353926806065,4.237924020083418,4.019950248448357,3.352610922848042,3.4871191548325386,3.924283374069717,4.63033476111609,3.714835124201342,3.3526109228480423,2.8635642126552705,5.660388679233963,3.370459909270543,4.882622246293481



