Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598527446.0592299,1598528065.486058,1598528679.950305,1598529297.9986858,1598529907.665185,1598530526.431251,1598531170.524715,1598531822.857557,1598532480.601109,1598533112.706667


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,18.0,16.0,18.0,18.0,4.0,30.0,18.0,24.0,28.0,30.0,24.0,30.0,30.0,22.0,36.0,40.0,40.0,32.0,18.0
16.0,6.0,4.0,12.0,22.0,18.0,18.0,22.0,16.0,42.0,36.0,36.0,36.0,36.0,48.0,54.0,48.0,46.0,44.0,32.0
6.0,10.0,12.0,8.0,24.0,12.0,26.0,6.0,14.0,16.0,24.0,18.0,20.0,18.0,18.0,16.0,20.0,30.0,20.0,18.0
6.0,12.0,18.0,12.0,14.0,14.0,14.0,24.0,14.0,24.0,18.0,30.0,26.0,26.0,14.0,2.0,28.0,22.0,22.0,22.0
18.0,2.0,10.0,22.0,16.0,20.0,32.0,40.0,28.0,20.0,30.0,26.0,20.0,24.0,14.0,26.0,30.0,34.0,44.0,32.0
4.0,2.0,6.0,14.0,10.0,20.0,28.0,24.0,24.0,32.0,18.0,32.0,24.0,34.0,34.0,42.0,36.0,32.0,40.0,54.0
6.0,14.0,12.0,20.0,16.0,22.0,30.0,22.0,24.0,44.0,22.0,34.0,34.0,18.0,32.0,20.0,38.0,42.0,40.0,40.0
2.0,12.0,10.0,20.0,28.0,30.0,22.0,18.0,34.0,40.0,38.0,22.0,28.0,28.0,28.0,36.0,56.0,34.0,44.0,34.0
10.0,16.0,16.0,6.0,28.0,28.0,18.0,40.0,20.0,16.0,22.0,22.0,38.0,46.0,38.0,48.0,50.0,34.0,42.0,40.0
6.0,16.0,16.0,16.0,24.0,16.0,18.0,24.0,18.0,18.0,26.0,12.0,22.0,24.0,16.0,34.0,28.0,22.0,20.0,44.0

Averages:
8.6,10.8,12.0,14.8,20.0,18.4,23.6,23.8,21.6,28.0,26.4,25.6,27.8,28.4,26.4,31.4,37.4,33.6,34.8,33.4
Standard deviations:
4.983974317750845,5.455272678794342,4.381780460041329,5.075431016179809,5.796550698475776,7.200000000000001,6.053098380168622,9.568698971124547,6.118823416311343,10.392304845413264,6.6211781428987395,7.144228439796701,6.2257529665093525,8.138795979750322,10.947145746723207,14.86068639060794,10.772186407596184,7.418894796396564,9.846826900072937,11.101351269102334



