Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1598573296.081321,1598573906.8912451,1598574514.781159,1598575123.237397,1598575735.622165,1598576348.866913,1598576962.915251,1598577575.3787782,1598578193.293802,1598578812.7669702


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,8.0,6.0,12.0,8.0,16.0,10.0,16.0,12.0,10.0,10.0,6.0,10.0,4.0,2.0,10.0,14.0,8.0,16.0,2.0
10.0,8.0,6.0,8.0,14.0,10.0,10.0,6.0,8.0,8.0,10.0,6.0,10.0,12.0,10.0,12.0,14.0,12.0,10.0,12.0
6.0,8.0,10.0,12.0,12.0,10.0,14.0,14.0,2.0,12.0,8.0,8.0,8.0,8.0,6.0,10.0,4.0,4.0,4.0,14.0
10.0,12.0,6.0,12.0,8.0,6.0,6.0,8.0,8.0,8.0,10.0,10.0,24.0,4.0,6.0,4.0,8.0,6.0,2.0,6.0
8.0,0.0,2.0,12.0,6.0,14.0,8.0,10.0,12.0,16.0,4.0,4.0,6.0,16.0,18.0,6.0,10.0,8.0,10.0,8.0
12.0,10.0,6.0,4.0,8.0,2.0,12.0,8.0,16.0,12.0,8.0,14.0,6.0,8.0,10.0,12.0,10.0,14.0,4.0,6.0
6.0,10.0,12.0,12.0,6.0,10.0,4.0,10.0,10.0,20.0,10.0,10.0,6.0,4.0,12.0,8.0,10.0,10.0,12.0,6.0
10.0,8.0,8.0,10.0,10.0,8.0,6.0,12.0,6.0,14.0,18.0,8.0,14.0,16.0,12.0,6.0,8.0,8.0,10.0,18.0
4.0,12.0,14.0,20.0,6.0,12.0,6.0,14.0,12.0,10.0,18.0,10.0,4.0,6.0,12.0,4.0,12.0,12.0,6.0,6.0
16.0,6.0,16.0,10.0,14.0,16.0,2.0,2.0,6.0,12.0,16.0,14.0,18.0,6.0,20.0,12.0,4.0,8.0,18.0,8.0

Averages:
8.6,8.2,8.6,11.2,9.2,10.4,7.8,10.0,9.2,12.2,11.2,9.0,10.6,8.4,10.8,8.4,9.4,9.0,9.2,8.6
Standard deviations:
3.583294573433783,3.2802438933713454,4.103656905736638,3.8157568056677826,2.993325909419153,4.176122603564219,3.515679166249389,4.0,3.815756805667783,3.5156791662493894,4.4,3.1304951684997055,6.003332407921453,4.454211490264017,5.1536394906900505,3.0724582991474434,3.352610922848042,2.8635642126552705,4.995998398718719,4.476605857119878



