Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599125533.427742,1599127761.224493,1599129915.720041,1599132071.7531798,1599134168.901333,1599136257.4555452,1599138375.682744,1599140568.474838,1599142726.161002,1599144886.906262


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,8.0,12.0,16.0,18.0,20.0,18.0,18.0,26.0,30.0,32.0,28.0,38.0,26.0,26.0,20.0,36.0,12.0,24.0,22.0
6.0,16.0,10.0,14.0,18.0,18.0,24.0,30.0,22.0,20.0,24.0,20.0,24.0,26.0,26.0,36.0,20.0,30.0,30.0,16.0
10.0,4.0,8.0,12.0,16.0,14.0,14.0,8.0,12.0,22.0,8.0,12.0,14.0,18.0,20.0,30.0,20.0,18.0,26.0,40.0
22.0,20.0,26.0,34.0,18.0,22.0,34.0,18.0,26.0,20.0,16.0,22.0,20.0,32.0,32.0,32.0,22.0,32.0,36.0,34.0
10.0,10.0,8.0,16.0,18.0,24.0,32.0,32.0,40.0,30.0,40.0,34.0,42.0,26.0,26.0,30.0,32.0,38.0,46.0,44.0
12.0,6.0,4.0,28.0,12.0,16.0,22.0,22.0,12.0,24.0,36.0,26.0,36.0,32.0,40.0,38.0,36.0,40.0,36.0,20.0
6.0,10.0,22.0,24.0,20.0,24.0,26.0,24.0,32.0,10.0,28.0,26.0,24.0,34.0,44.0,30.0,40.0,30.0,48.0,46.0
6.0,18.0,8.0,12.0,24.0,26.0,16.0,32.0,20.0,36.0,26.0,36.0,18.0,36.0,30.0,26.0,34.0,42.0,40.0,44.0
8.0,16.0,14.0,18.0,8.0,12.0,16.0,12.0,6.0,12.0,16.0,28.0,30.0,20.0,22.0,28.0,18.0,20.0,16.0,12.0
8.0,8.0,12.0,18.0,22.0,6.0,16.0,20.0,22.0,30.0,26.0,26.0,30.0,22.0,22.0,28.0,24.0,20.0,22.0,26.0

Averages:
9.2,11.6,12.4,19.2,17.4,18.2,21.8,21.6,21.8,23.4,25.2,25.8,27.6,27.2,28.8,29.8,28.2,28.2,32.4,30.4
Standard deviations:
4.833218389437829,5.2,6.437390775772433,6.881860213634101,4.386342439892262,5.96322060635023,6.720119046564577,7.735631842325487,9.568698971124547,7.901898506055365,9.260669522232181,6.477653896280659,8.708616422830897,5.81033561853358,7.493997598078077,4.770744176750625,7.769169839822013,9.734474818910368,10.031948963187562,12.092973166264779



