Accuracies BindsNET_QA all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599507746.646116,1599509747.6735191,1599511740.49652,1599513736.7377899,1599515735.8844118,1599517735.0818439,1599519738.629875,1599521742.248159,1599523741.40192,1599525751.814591


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,18.0,12.0,16.0,20.0,20.0,28.0,26.0,24.0,24.0,20.0,24.0,26.0,24.0,42.0,30.0,36.0,48.0,24.0,30.0
12.0,8.0,14.0,18.0,16.0,26.0,26.0,16.0,16.0,20.0,22.0,22.0,28.0,22.0,30.0,50.0,46.0,30.0,28.0,34.0
6.0,10.0,12.0,20.0,16.0,16.0,14.0,30.0,30.0,22.0,34.0,32.0,36.0,36.0,28.0,34.0,38.0,46.0,52.0,48.0
8.0,8.0,14.0,22.0,4.0,10.0,12.0,10.0,10.0,16.0,28.0,26.0,30.0,40.0,32.0,46.0,32.0,16.0,26.0,46.0
10.0,16.0,14.0,10.0,22.0,14.0,18.0,20.0,28.0,24.0,34.0,26.0,24.0,40.0,28.0,38.0,32.0,32.0,28.0,30.0
20.0,14.0,24.0,20.0,20.0,24.0,28.0,20.0,32.0,20.0,22.0,20.0,22.0,26.0,24.0,30.0,34.0,46.0,24.0,24.0
4.0,0.0,20.0,28.0,16.0,32.0,30.0,32.0,30.0,42.0,30.0,40.0,36.0,38.0,26.0,34.0,38.0,48.0,40.0,36.0
18.0,18.0,16.0,12.0,24.0,14.0,10.0,18.0,18.0,10.0,28.0,16.0,36.0,30.0,28.0,44.0,36.0,44.0,32.0,38.0
10.0,16.0,16.0,8.0,16.0,30.0,20.0,26.0,16.0,34.0,16.0,30.0,20.0,32.0,32.0,24.0,30.0,32.0,30.0,36.0
12.0,16.0,16.0,14.0,12.0,10.0,18.0,16.0,16.0,16.0,18.0,28.0,20.0,20.0,20.0,26.0,32.0,28.0,40.0,34.0

Averages:
11.2,12.4,15.8,16.8,16.6,19.6,20.4,21.4,22.0,22.8,25.2,26.4,27.8,30.8,29.0,35.6,35.4,37.0,32.4,35.6
Standard deviations:
4.66476151587624,5.499090833947008,3.5156791662493894,5.74108003776293,5.370288632839022,7.631513611335565,6.858571279792899,6.575712889109438,7.321202087089251,8.772684879784524,6.144916598294887,6.374950980203691,6.161168720299746,7.166589146867567,5.531726674375733,8.284926070883193,4.386342439892262,10.363397126425292,8.522910301065005,6.8585712797928995



