Accuracies BindsNET_bad_one all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599507746.646116,1599509747.6735191,1599511740.49652,1599513736.7377899,1599515735.8844118,1599517735.0818439,1599519738.629875,1599521742.248159,1599523741.40192,1599525751.814591


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,8.0,4.0,6.0,10.0,8.0,10.0,8.0,8.0,12.0,18.0,4.0,6.0,10.0,12.0,12.0,4.0,12.0,8.0,2.0
12.0,14.0,10.0,8.0,12.0,14.0,4.0,12.0,12.0,16.0,10.0,10.0,10.0,16.0,12.0,12.0,8.0,10.0,20.0,4.0
6.0,10.0,22.0,14.0,12.0,20.0,8.0,6.0,4.0,12.0,18.0,10.0,6.0,14.0,8.0,16.0,8.0,16.0,8.0,12.0
8.0,24.0,8.0,14.0,14.0,10.0,20.0,18.0,8.0,12.0,4.0,12.0,6.0,2.0,8.0,8.0,20.0,6.0,8.0,8.0
10.0,10.0,10.0,6.0,14.0,8.0,10.0,14.0,16.0,4.0,2.0,8.0,10.0,12.0,4.0,6.0,6.0,6.0,16.0,4.0
20.0,10.0,8.0,10.0,8.0,8.0,24.0,14.0,6.0,4.0,12.0,8.0,10.0,6.0,12.0,10.0,4.0,12.0,8.0,16.0
4.0,12.0,6.0,16.0,4.0,12.0,6.0,6.0,12.0,16.0,10.0,6.0,18.0,20.0,12.0,20.0,12.0,8.0,12.0,6.0
18.0,4.0,4.0,8.0,18.0,12.0,8.0,8.0,10.0,6.0,10.0,18.0,6.0,2.0,12.0,12.0,12.0,10.0,16.0,8.0
10.0,8.0,12.0,12.0,6.0,16.0,14.0,10.0,4.0,16.0,8.0,14.0,8.0,8.0,12.0,10.0,6.0,14.0,10.0,20.0
12.0,16.0,10.0,8.0,12.0,10.0,10.0,6.0,12.0,12.0,12.0,6.0,12.0,10.0,12.0,14.0,12.0,20.0,10.0,8.0

Averages:
11.2,11.6,9.4,10.2,11.0,11.8,11.4,10.2,9.2,11.0,10.4,9.6,9.2,10.0,10.4,12.0,9.2,11.4,11.6,8.8
Standard deviations:
4.66476151587624,5.2,4.903060268852506,3.4000000000000004,3.924283374069717,3.736308338453881,5.936328831862332,3.9446165846632035,3.7094473981982814,4.494441010848846,4.882622246293481,3.97994974842648,3.6,5.513619500836088,2.65329983228432,3.794733192202055,4.66476151587624,4.2,4.079215610874228,5.3814496188294845



