Accuracies BindsNET_bad_zero all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599507746.646116,1599509747.6735191,1599511740.49652,1599513736.7377899,1599515735.8844118,1599517735.0818439,1599519738.629875,1599521742.248159,1599523741.40192,1599525751.814591


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,8.0,8.0,14.0,14.0,12.0,14.0,8.0,18.0,6.0,14.0,8.0,8.0,6.0,14.0,8.0,12.0,6.0,10.0,8.0
12.0,6.0,6.0,10.0,10.0,16.0,12.0,8.0,16.0,4.0,2.0,4.0,18.0,8.0,14.0,16.0,6.0,4.0,8.0,14.0
6.0,8.0,6.0,4.0,14.0,6.0,4.0,6.0,14.0,12.0,8.0,8.0,8.0,10.0,10.0,12.0,14.0,6.0,12.0,10.0
8.0,20.0,4.0,6.0,6.0,8.0,10.0,6.0,4.0,10.0,14.0,6.0,8.0,10.0,10.0,14.0,6.0,6.0,14.0,10.0
10.0,10.0,10.0,16.0,6.0,6.0,8.0,20.0,10.0,12.0,10.0,6.0,8.0,8.0,6.0,14.0,8.0,8.0,8.0,6.0
20.0,10.0,12.0,14.0,6.0,10.0,14.0,8.0,16.0,8.0,14.0,6.0,2.0,12.0,4.0,8.0,6.0,22.0,4.0,10.0
4.0,6.0,18.0,10.0,12.0,18.0,12.0,14.0,6.0,10.0,12.0,10.0,8.0,10.0,10.0,10.0,8.0,4.0,10.0,10.0
18.0,14.0,10.0,6.0,12.0,8.0,10.0,10.0,12.0,14.0,12.0,8.0,16.0,14.0,10.0,20.0,10.0,12.0,6.0,12.0
10.0,26.0,12.0,10.0,8.0,6.0,10.0,18.0,6.0,14.0,10.0,10.0,4.0,10.0,6.0,10.0,14.0,10.0,14.0,18.0
12.0,14.0,8.0,10.0,4.0,2.0,10.0,12.0,8.0,10.0,10.0,16.0,4.0,12.0,8.0,10.0,6.0,8.0,18.0,12.0

Averages:
11.2,12.2,9.4,10.0,9.2,9.2,10.4,11.0,11.0,10.0,10.6,8.2,8.4,10.0,9.2,12.2,9.0,8.6,10.4,11.0
Standard deviations:
4.66476151587624,6.161168720299745,3.8000000000000003,3.687817782917155,3.4871191548325386,4.66476151587624,2.8,4.669047011971501,4.669047011971501,3.0983866769659336,3.4698703145794947,3.1559467676119,4.8,2.1908902300206643,3.1240998703626617,3.627671429443411,3.1304951684997055,5.0635955604688645,3.97994974842648,3.1304951684997055



