Accuracies BindsNET_QA proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599272038.521406,1599274042.9903848,1599276058.631976,1599278068.7083561,1599280080.207703,1599282083.167899,1599284085.1632462,1599286096.499784,1599288123.668582,1599290142.332808


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

10.0,6.0,16.0,36.0,22.0,16.0,22.0,16.0,18.0,22.0,28.0,34.0,34.0,36.0,36.0,46.0,34.0,48.0,30.0,40.0
8.0,12.0,6.0,18.0,14.0,26.0,26.0,24.0,10.0,20.0,20.0,22.0,22.0,18.0,38.0,28.0,26.0,26.0,46.0,54.0
8.0,18.0,6.0,20.0,26.0,16.0,18.0,24.0,36.0,38.0,30.0,22.0,30.0,28.0,32.0,34.0,22.0,38.0,36.0,22.0
12.0,12.0,16.0,8.0,14.0,14.0,20.0,8.0,22.0,30.0,24.0,22.0,26.0,34.0,44.0,42.0,36.0,32.0,38.0,48.0
10.0,26.0,14.0,22.0,30.0,22.0,22.0,40.0,30.0,24.0,26.0,30.0,20.0,32.0,40.0,32.0,32.0,40.0,56.0,30.0
12.0,10.0,16.0,16.0,16.0,10.0,14.0,16.0,20.0,14.0,10.0,16.0,18.0,14.0,22.0,32.0,26.0,28.0,34.0,18.0
14.0,14.0,10.0,16.0,12.0,26.0,12.0,12.0,12.0,14.0,28.0,26.0,42.0,28.0,44.0,36.0,32.0,34.0,40.0,30.0
12.0,12.0,14.0,14.0,12.0,14.0,14.0,16.0,12.0,16.0,18.0,22.0,24.0,18.0,20.0,26.0,34.0,32.0,38.0,32.0
10.0,12.0,12.0,24.0,26.0,16.0,24.0,14.0,12.0,16.0,14.0,28.0,10.0,18.0,24.0,28.0,28.0,26.0,18.0,20.0
10.0,8.0,12.0,10.0,8.0,24.0,24.0,22.0,20.0,36.0,24.0,28.0,40.0,46.0,44.0,46.0,38.0,42.0,24.0,40.0

Averages:
10.6,13.0,12.2,18.4,18.0,18.4,19.6,19.2,19.2,23.0,22.2,25.0,26.6,27.2,34.4,35.0,30.8,34.6,36.0,33.4
Standard deviations:
1.8,5.310367218940701,3.627671429443411,7.525955088890712,7.042726744663604,5.3516352641038605,4.63033476111609,8.49470423263812,8.059776671843954,8.449852069711044,6.2257529665093525,4.919349550499537,9.509994742374992,9.641576634555161,8.93532316147547,7.0,4.833218389437829,6.931089380465383,10.158740079360236,11.385956261992227



