Accuracies BindsNET_bad_one proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599427008.880705,1599429022.53724,1599431032.7350242,1599433052.841654,1599435061.020651,1599437064.017441,1599439076.553845,1599441083.0311759,1599443094.452119,1599445118.4677608


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

4.0,10.0,14.0,4.0,4.0,12.0,10.0,12.0,4.0,6.0,14.0,12.0,4.0,6.0,10.0,6.0,6.0,18.0,8.0,2.0
10.0,2.0,10.0,10.0,14.0,14.0,6.0,8.0,8.0,12.0,10.0,8.0,14.0,12.0,16.0,6.0,16.0,18.0,12.0,8.0
12.0,10.0,10.0,6.0,12.0,12.0,14.0,6.0,18.0,8.0,16.0,2.0,6.0,12.0,6.0,16.0,16.0,20.0,12.0,14.0
6.0,6.0,18.0,14.0,6.0,14.0,10.0,6.0,12.0,10.0,6.0,6.0,6.0,18.0,12.0,8.0,8.0,8.0,8.0,4.0
4.0,8.0,8.0,12.0,6.0,8.0,8.0,16.0,12.0,2.0,14.0,10.0,4.0,10.0,10.0,10.0,12.0,8.0,8.0,10.0
10.0,6.0,8.0,6.0,8.0,8.0,10.0,8.0,22.0,12.0,8.0,16.0,12.0,4.0,10.0,4.0,14.0,8.0,4.0,8.0
2.0,6.0,14.0,8.0,6.0,8.0,6.0,4.0,4.0,14.0,12.0,20.0,4.0,8.0,10.0,12.0,16.0,2.0,6.0,6.0
6.0,20.0,6.0,4.0,12.0,6.0,16.0,10.0,18.0,14.0,2.0,4.0,6.0,8.0,12.0,4.0,4.0,10.0,12.0,10.0
8.0,12.0,8.0,10.0,10.0,18.0,8.0,12.0,8.0,6.0,8.0,12.0,10.0,8.0,14.0,6.0,6.0,12.0,8.0,8.0
10.0,8.0,6.0,10.0,14.0,14.0,10.0,12.0,8.0,14.0,6.0,18.0,16.0,10.0,8.0,16.0,8.0,18.0,16.0,4.0

Averages:
7.2,8.8,10.2,8.4,9.2,11.4,9.8,9.4,11.4,9.8,9.6,10.8,8.2,9.6,10.8,8.8,10.6,12.2,9.4,7.4
Standard deviations:
3.124099870362662,4.578209256903839,3.7363083384538807,3.2,3.4871191548325386,3.5832945734337835,3.026549190084311,3.4698703145794947,5.868560300448483,3.9446165846632035,4.17612260356422,5.67097875150313,4.237924020083418,3.6660605559646724,2.7129319932501073,4.308131845707604,4.476605857119878,5.688585061331157,3.352610922848042,3.3526109228480423



