Accuracies BindsNET_bad_zero proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599447149.026586,1599449149.6084979,1599451150.103177,1599453143.9840589,1599455140.071724,1599457143.822239,1599459154.546634,1599461151.996463,1599463158.418253,1599465555.8613608


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

12.0,10.0,8.0,8.0,14.0,14.0,10.0,18.0,14.0,10.0,12.0,14.0,8.0,4.0,12.0,4.0,12.0,16.0,8.0,10.0
12.0,8.0,14.0,6.0,18.0,8.0,8.0,8.0,4.0,8.0,18.0,8.0,14.0,10.0,12.0,14.0,8.0,4.0,16.0,8.0
10.0,18.0,12.0,6.0,12.0,10.0,8.0,8.0,12.0,16.0,10.0,16.0,10.0,20.0,8.0,6.0,4.0,16.0,8.0,0.0
14.0,4.0,2.0,12.0,12.0,6.0,14.0,12.0,22.0,8.0,10.0,14.0,4.0,10.0,8.0,10.0,2.0,8.0,18.0,12.0
22.0,6.0,4.0,14.0,10.0,12.0,10.0,8.0,6.0,6.0,10.0,12.0,8.0,14.0,18.0,20.0,8.0,6.0,8.0,18.0
8.0,14.0,14.0,6.0,16.0,8.0,8.0,12.0,8.0,4.0,12.0,6.0,8.0,2.0,2.0,10.0,18.0,18.0,6.0,8.0
10.0,12.0,10.0,8.0,8.0,8.0,4.0,6.0,10.0,8.0,2.0,8.0,6.0,16.0,12.0,8.0,14.0,18.0,10.0,12.0
14.0,14.0,10.0,6.0,10.0,12.0,14.0,2.0,14.0,8.0,10.0,8.0,14.0,10.0,10.0,8.0,14.0,12.0,12.0,12.0
8.0,4.0,6.0,12.0,6.0,10.0,12.0,12.0,12.0,8.0,4.0,18.0,6.0,14.0,10.0,4.0,12.0,8.0,6.0,4.0
10.0,12.0,4.0,6.0,10.0,8.0,20.0,10.0,18.0,12.0,8.0,10.0,14.0,0.0,10.0,10.0,8.0,6.0,14.0,10.0

Averages:
12.0,10.2,8.4,8.4,11.6,9.6,10.8,9.6,12.0,8.8,9.6,11.4,9.2,10.0,10.2,9.4,10.0,11.2,10.6,9.4
Standard deviations:
3.8987177379235853,4.422668877499196,4.079215610874228,2.939387691339814,3.440930106817051,2.3323807579381204,4.214261501141095,4.079215610874228,5.138093031466052,3.1240998703626617,4.176122603564219,3.8000000000000003,3.4871191548325386,6.06630035524124,3.8418745424597094,4.565084884205332,4.6475800154489,5.1536394906900505,4.004996878900157,4.651881339845203



