Accuracies BindsNET all
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,40,200,10000,1,22.5,22.5,20,1.0,128,5,True,False,1,False

Seeds:,1601428551.7844732,1601428608.0015,1601428664.3455849,1601428720.2056918,1601428776.448447,1601428832.0412018,1601428886.895284,1601428943.4088051,1601428999.057203,1601429054.694439


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39

0.0,20.0,20.0,60.0,40.0,40.0,80.0,0.0,80.0,60.0,80.0,100.0,80.0,80.0,80.0,100.0,100.0,60.0,80.0,100.0,100.0,80.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,20.0,40.0,60.0,80.0,80.0,20.0,80.0,20.0,80.0,100.0,80.0,80.0,60.0,60.0,80.0,100.0,80.0,80.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,60.0,40.0,40.0,80.0,60.0,60.0,60.0,80.0,60.0,80.0,100.0,80.0,80.0,80.0,100.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,40.0,40.0,0.0,20.0,80.0,60.0,60.0,60.0,60.0,40.0,100.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,40.0,40.0,20.0,100.0,100.0,20.0,80.0,80.0,80.0,60.0,60.0,80.0,80.0,100.0,100.0,40.0,60.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,20.0,20.0,60.0,40.0,80.0,0.0,60.0,80.0,80.0,40.0,80.0,100.0,100.0,40.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,60.0,20.0,20.0,40.0,60.0,60.0,60.0,40.0,80.0,100.0,100.0,100.0,60.0,80.0,100.0,60.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.0,40.0,20.0,40.0,60.0,40.0,60.0,40.0,40.0,60.0,80.0,80.0,100.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,0.0,40.0,0.0,60.0,40.0,40.0,100.0,60.0,80.0,100.0,100.0,60.0,100.0,80.0,80.0,100.0,100.0,100.0,40.0,100.0,100.0,60.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,40.0,40.0,60.0,60.0,40.0,20.0,100.0,80.0,100.0,80.0,60.0,100.0,80.0,60.0,80.0,100.0,100.0,80.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

Averages:
12.0,14.0,38.0,36.0,44.0,64.0,52.0,50.0,64.0,70.0,76.0,86.0,82.0,86.0,72.0,88.0,98.0,78.0,90.0,84.0,92.0,94.0,84.0,98.0,94.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Standard deviations:
13.2664991614216,15.620499351813308,14.0,21.540659228538015,19.595917942265423,21.540659228538015,27.129319932501073,28.635642126552707,21.540659228538015,13.416407864998739,21.540659228538015,12.806248474865697,16.61324772583615,12.806248474865697,13.2664991614216,13.2664991614216,6.0,18.867962264113206,13.416407864998739,19.595917942265423,13.2664991614216,9.16515138991168,19.595917942265423,6.0,12.806248474865697,8.0,8.0,8.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0



