Accuracies BindsNET proportion
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,40,200,10000,1,22.5,22.5,20,1.0,128,5,True,False,1,False

Seeds:,1601452322.7484999,1601452380.997013,1601452438.930977,1601452497.143667,1601452554.9239302,1601452611.277962,1601452669.796619,1601452727.549273,1601452784.7117598,1601452843.481222


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39

20.0,20.0,60.0,20.0,60.0,40.0,60.0,60.0,60.0,40.0,20.0,60.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
0.0,40.0,60.0,0.0,60.0,40.0,80.0,80.0,60.0,40.0,100.0,60.0,80.0,100.0,40.0,80.0,60.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,20.0,0.0,40.0,60.0,40.0,80.0,60.0,60.0,80.0,100.0,60.0,80.0,80.0,100.0,60.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,20.0,20.0,40.0,60.0,80.0,40.0,60.0,80.0,80.0,60.0,40.0,80.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,60.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,20.0,0.0,40.0,60.0,80.0,60.0,80.0,40.0,80.0,80.0,100.0,60.0,60.0,80.0,80.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,0.0,20.0,60.0,60.0,40.0,40.0,60.0,80.0,60.0,80.0,100.0,80.0,80.0,100.0,80.0,100.0,80.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0
40.0,20.0,20.0,60.0,40.0,80.0,20.0,80.0,60.0,40.0,60.0,80.0,80.0,60.0,100.0,60.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,20.0,60.0,40.0,40.0,80.0,20.0,80.0,40.0,100.0,60.0,80.0,80.0,80.0,100.0,80.0,80.0,100.0,80.0,80.0,60.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0,20.0,40.0,20.0,80.0,60.0,40.0,60.0,40.0,40.0,60.0,80.0,80.0,80.0,100.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20.0,40.0,40.0,0.0,40.0,80.0,60.0,60.0,60.0,100.0,100.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

Averages:
10.0,22.0,32.0,32.0,56.0,62.0,50.0,68.0,58.0,66.0,72.0,72.0,80.0,82.0,86.0,76.0,90.0,92.0,96.0,86.0,86.0,92.0,98.0,94.0,96.0,98.0,98.0,96.0,100.0,96.0,100.0,98.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,100.0
Standard deviations:
13.416407864998739,10.770329614269007,22.271057451320086,20.396078054371138,12.0,18.867962264113206,20.493901531919196,9.797958971132712,14.0,23.748684174075834,24.0,18.33030277982336,8.94427190999916,14.0,20.09975124224178,12.0,13.416407864998739,9.797958971132712,8.0,15.620499351813308,18.0,9.797958971132712,6.0,9.16515138991168,12.0,6.0,6.0,8.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0



